,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Raúl Jiménez,"£ 100,000","£ 5,200,000",,"Oct 3, 2020","Jun 30, 2024",2,"£ 10,400,000",,F,CF,31,Reserve,Mexico,,,Wolverhampton,Premier League,2022-2023
1,João Moutinho,"£ 100,000","£ 5,200,000",,"Jul 4, 2022","Jun 30, 2023",1,"£ 5,200,000",,M,CM,36,Starter,Portugal,,,Wolverhampton,Premier League,2022-2023
2,Pablo Sarabia,"£ 90,000","£ 4,680,000",,"Jan 17, 2023","Jun 30, 2025",3,"£ 14,040,000",,F,RW,30,Starter,Spain,,,Wolverhampton,Premier League,2022-2023
3,Matheus Nunes,"£ 85,000","£ 4,420,000",,"Aug 18, 2022","Jun 30, 2027",5,"£ 22,100,000",,M,CM,24,Starter,Portugal,,,Wolverhampton,Premier League,2022-2023
4,Nélson Semedo,"£ 80,000","£ 4,160,000",,"Sep 23, 2020","Jun 30, 2023",1,"£ 4,160,000",,D,RB,29,Starter,Portugal,,,Wolverhampton,Premier League,2022-2023
5,Matheus Cunha,"£ 60,000","£ 3,120,000",,"Jan 1, 2023","Jun 30, 2023",1,"£ 3,120,000",,F,CF,23,Starter,Brazil,,,Wolverhampton,Premier League,2022-2023
6,Daniel Podence,"£ 60,000","£ 3,120,000",,"Jan 30, 2020","Jun 30, 2024",2,"£ 6,240,000",,F,LW,27,Reserve,Portugal,,,Wolverhampton,Premier League,2022-2023
7,Boubacar Traoré,"£ 55,000","£ 2,860,000",,"Sep 1, 2022","Jun 30, 2023",1,"£ 2,860,000",,M,DM,21,Reserve,Mali,,,Wolverhampton,Premier League,2022-2023
8,Adama Traoré,"£ 55,000","£ 2,860,000",,"Aug 8, 2018","Jun 30, 2023",1,"£ 2,860,000",,F,RW,27,Reserve,Spain,,,Wolverhampton,Premier League,2022-2023
9,Rúben Neves,"£ 50,000","£ 2,600,000",,"Jul 2, 2018","Jun 30, 2024",2,"£ 5,200,000",,M,DM,25,Starter,Portugal,,,Wolverhampton,Premier League,2022-2023
10,Pedro Neto,"£ 50,000","£ 2,600,000",,"Mar 9, 2022","Jun 30, 2027",5,"£ 13,000,000",,F,RW,22,Reserve,Portugal,,,Wolverhampton,Premier League,2022-2023
11,Diego Costa,"£ 50,000","£ 2,600,000",,"Sep 12, 2022","Jun 30, 2023",1,"£ 2,600,000",,F,CF,34,Reserve,Spain,,,Wolverhampton,Premier League,2022-2023
12,Craig Dawson,"£ 45,000","£ 2,340,000",,"Jan 22, 2023","Jun 30, 2025",3,"£ 7,020,000",,D,CB,32,Starter,England,,,Wolverhampton,Premier League,2022-2023
13,Mario Lemina,"£ 45,000","£ 2,340,000",,"Jan 13, 2023","Jun 30, 2025",3,"£ 7,020,000",,M,DM,29,Starter,Gabon,,,Wolverhampton,Premier League,2022-2023
14,Jonny Otto,"£ 35,000","£ 1,820,000",,"Feb 10, 2021","Jun 30, 2025",3,"£ 5,460,000",,D,LB,28,Reserve,Spain,,,Wolverhampton,Premier League,2022-2023
15,Sasa Kalajdzic,"£ 35,000","£ 1,820,000",,"Aug 31, 2022","Jun 30, 2027",5,"£ 9,100,000",,F,CF,25,Reserve,Austria,,,Wolverhampton,Premier League,2022-2023
16,João Gomes,"£ 30,000","£ 1,560,000",,"Jan 30, 2023","Jun 30, 2028",6,"£ 9,360,000",,M,CM,21,Reserve,Brazil,,,Wolverhampton,Premier League,2022-2023
17,Hee-chan Hwang,"£ 30,000","£ 1,560,000",,"Jul 1, 2022","Jun 30, 2026",4,"£ 6,240,000",,F,CF,27,Reserve,South Korea,,,Wolverhampton,Premier League,2022-2023
18,José Sá,"£ 25,000","£ 1,300,000",,"Jul 15, 2021","Jun 30, 2026",4,"£ 5,200,000",,K,GK,30,Starter,Portugal,,,Wolverhampton,Premier League,2022-2023
19,Nathan Collins,"£ 20,000","£ 1,040,000",,"Jul 12, 2022","Jun 30, 2027",5,"£ 5,200,000",,D,CB,21,Reserve,Ireland,,,Wolverhampton,Premier League,2022-2023
20,Max Kilman,"£ 15,000","£ 780,000",,"Nov 5, 2021","Jun 30, 2026",4,"£ 3,120,000",,D,CB,25,Starter,England,,,Wolverhampton,Premier League,2022-2023
21,Toti Gomes,"£ 10,000","£ 520,000",,"Mar 21, 2022","Jun 30, 2027",5,"£ 2,600,000",,D,CB,24,Reserve,Portugal,,,Wolverhampton,Premier League,2022-2023
22,Daniel Bentley,"£ 10,000","£ 520,000",,"Jan 25, 2023","Jun 30, 2025",3,"£ 1,560,000",,K,GK,29,Reserve,England,,,Wolverhampton,Premier League,2022-2023
23,Chiquinho,"£ 10,000","£ 520,000",,"Jan 17, 2022","Jun 30, 2026",4,"£ 2,080,000",,F,LW,22,Reserve,Portugal,,,Wolverhampton,Premier League,2022-2023
24,Rayan Aït-Nouri,"£ 10,000","£ 520,000",,"Jul 9, 2021","Jun 30, 2026",4,"£ 2,080,000",,D,LB,21,Starter,Algeria,,,Wolverhampton,Premier League,2022-2023
25,Yerson Mosquera,"£ 8,000","£ 416,000",,"Jul 1, 2021","Jun 30, 2026",4,"£ 1,664,000",,D,CB,21,Reserve,Colombia,,,Wolverhampton,Premier League,2022-2023
26,Louie Moulden,"£ 5,000","£ 260,000",,"Feb 6, 2023","Jun 30, 2023",1,"£ 260,000",,K,GK,21,Reserve,England,,,Wolverhampton,Premier League,2022-2023
27,Joe Hodge,"£ 5,000","£ 260,000",,"Jan 21, 2023","Jun 30, 2027",5,"£ 1,300,000",,M,DM,20,Reserve,Ireland,,,Wolverhampton,Premier League,2022-2023
28,Hugo Bueno,"£ 5,000","£ 260,000",,"Nov 2, 2022","Jun 30, 2026",4,"£ 1,040,000",,D,LB,20,Reserve,Spain,,,Wolverhampton,Premier League,2022-2023
29,Total,"£ 1,178,000","£ 61,256,000",£ 0,,,,"£ 162,084,000",£ 0,,,,,,,,Wolverhampton,Premier League,2022-2023
