,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Ismaël Bennacer,"€ 135,385","€ 7,040,000","€ 370,000","Jan 12, 2023","Jun 30, 2027",5,"€ 35,200,000","€ 50,000,000",M,DM,25,Reserve,Algeria,,,AC Milan,Serie A,2022-2023
1,Sergiño Dest,"€ 115,385","€ 6,000,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 6,000,000",,D,RB,22,Reserve,United States,,,AC Milan,Serie A,2022-2023
2,Theo Hernández,"€ 98,654","€ 5,130,000",,"Feb 11, 2022","Jun 30, 2026",4,"€ 20,520,000",,D,LB,25,Starter,France,,,AC Milan,Serie A,2022-2023
3,Divock Origi,"€ 98,654","€ 5,130,000",,"Jul 5, 2022","Jun 30, 2026",4,"€ 20,520,000",,F,CF,27,Reserve,Belgium,,,AC Milan,Serie A,2022-2023
4,Sandro Tonali,"€ 89,038","€ 4,630,000",,"Sep 9, 2022","Jun 30, 2027",5,"€ 23,150,000",,M,DM,22,Starter,Italy,,,AC Milan,Serie A,2022-2023
5,Tiemoué Bakayoko,"€ 89,038","€ 4,630,000",,"Aug 30, 2021","Jun 30, 2023",1,"€ 4,630,000",,M,DM,28,Reserve,France,,,AC Milan,Serie A,2022-2023
6,Olivier Giroud,"€ 86,346","€ 4,490,000","€ 260,000","Jul 17, 2021","Jun 30, 2023",1,"€ 4,490,000",,F,CF,36,Starter,France,,,AC Milan,Serie A,2022-2023
7,Fikayo Tomori,"€ 86,346","€ 4,490,000",,"Aug 12, 2022","Jun 30, 2027",5,"€ 22,450,000",,D,CB,25,Starter,England,,,AC Milan,Serie A,2022-2023
8,Ante Rebic,"€ 86,346","€ 4,490,000",,"Sep 12, 2020","Jun 30, 2025",3,"€ 13,470,000",,F,LW,29,Reserve,Croatia,,,AC Milan,Serie A,2022-2023
9,Alessandro Florenzi,"€ 71,154","€ 3,700,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 11,100,000",,D,RB,31,Reserve,Italy,,,AC Milan,Serie A,2022-2023
10,Davide Calabria,"€ 71,154","€ 3,700,000",,"Jul 9, 2021","Jun 30, 2025",3,"€ 11,100,000",,D,RB,26,Starter,Italy,,,AC Milan,Serie A,2022-2023
11,Mike Maignan,"€ 69,038","€ 3,590,000",,"Jul 1, 2021","Jun 30, 2026",4,"€ 14,360,000",,K,GK,27,Starter,France,,,AC Milan,Serie A,2022-2023
12,Charles De Ketelaere,"€ 54,231","€ 2,820,000",,"Aug 2, 2022","Jun 30, 2027",5,"€ 14,100,000",,F,AM,21,Reserve,Belgium,,,AC Milan,Serie A,2022-2023
13,Rade Krunic,"€ 53,462","€ 2,780,000",,"Sep 8, 2022","Jun 30, 2025",3,"€ 8,340,000",,M,CM,29,Starter,Bosnia-Herzegovina,,,AC Milan,Serie A,2022-2023
14,Pierre Kalulu,"€ 49,231","€ 2,560,000","€ 510,000","Nov 10, 2022","Jun 30, 2027",5,"€ 12,800,000",,D,CB,22,Starter,France,,,AC Milan,Serie A,2022-2023
15,Zlatan Ibrahimović,"€ 36,923","€ 1,920,000",,"Jul 18, 2022","Jun 30, 2023",1,"€ 1,920,000",,F,CF,41,Reserve,Sweden,,,AC Milan,Serie A,2022-2023
16,Aster Vranckx,"€ 36,923","€ 1,920,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 1,920,000",,M,CM,20,Reserve,Belgium,,,AC Milan,Serie A,2022-2023
17,Brahim Díaz,"€ 36,923","€ 1,920,000",,"Jul 19, 2021","Jun 30, 2023",1,"€ 1,920,000",,F,AM,23,Starter,Spain,,,AC Milan,Serie A,2022-2023
18,Simon Kjaer,"€ 36,923","€ 1,920,000",,"Oct 27, 2021","Jun 30, 2024",2,"€ 3,840,000",,D,CB,33,Starter,Denmark,,,AC Milan,Serie A,2022-2023
19,Junior Messias,"€ 35,577","€ 1,850,000",,"Jul 7, 2022","Jun 30, 2024",2,"€ 3,700,000",,F,RW,31,Reserve,Brazil,,,AC Milan,Serie A,2022-2023
20,Tommaso Pobega,"€ 35,577","€ 1,850,000",,"Aug 5, 2022","Jun 30, 2027",5,"€ 9,250,000",,M,CM,23,Reserve,Italy,,,AC Milan,Serie A,2022-2023
21,Rafael Leão,"€ 34,423","€ 1,790,000",,"Aug 1, 2019","Jun 30, 2024",2,"€ 3,580,000","€ 150,000,000",F,LW,23,Starter,Portugal,,,AC Milan,Serie A,2022-2023
22,Ciprian Tatarusanu,"€ 29,615","€ 1,540,000",,"Sep 11, 2020","Jun 30, 2023",1,"€ 1,540,000",,K,GK,36,Reserve,Romania,,,AC Milan,Serie A,2022-2023
23,Matteo Gabbia,"€ 28,462","€ 1,480,000",,"Feb 3, 2022","Jun 30, 2026",4,"€ 5,920,000",,D,CB,23,Reserve,Italy,,,AC Milan,Serie A,2022-2023
24,Antonio Mirante,"€ 25,000","€ 1,300,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 1,300,000",,K,GK,39,Reserve,Italy,,,AC Milan,Serie A,2022-2023
25,Alexis Saelemaekers,"€ 24,615","€ 1,280,000",,"Oct 15, 2021","Jun 30, 2026",4,"€ 5,120,000",,F,RW,23,Reserve,Belgium,,,AC Milan,Serie A,2022-2023
26,Fodé Ballo-Touré,"€ 24,615","€ 1,280,000",,"Jul 18, 2021","Jun 30, 2025",3,"€ 3,840,000",,D,LB,26,Reserve,Senegal,,,AC Milan,Serie A,2022-2023
27,Malick Thiaw,"€ 19,808","€ 1,030,000","€ 260,000","Aug 29, 2022","Jun 30, 2027",5,"€ 5,150,000",,D,CB,21,Reserve,Germany,,,AC Milan,Serie A,2022-2023
28,Yacine Adli,"€ 19,808","€ 1,030,000",,"Aug 30, 2021","Jun 30, 2026",4,"€ 4,120,000",,F,AM,22,Reserve,France,,,AC Milan,Serie A,2022-2023
29,Devis Vásquez,"€ 5,962","€ 310,000",,"Jan 3, 2023","Jun 30, 2026",4,"€ 1,240,000",,K,GK,24,Reserve,Colombia,,,AC Milan,Serie A,2022-2023
30,Emil Roback,"€ 1,154","€ 60,000",,"May 10, 2021","Jun 30, 2025",3,"€ 180,000",,F,CF,19,Reserve,Sweden,,,AC Milan,Serie A,2022-2023
31,Total,"€ 1,685,770","€ 87,660,000","€ 1,400,000",,,,"€ 276,770,000","€ 200,000,000",,,,,,,,AC Milan,Serie A,2022-2023
