,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,Pos. AMCBCFCMDMGKLBLWRBSS,Pos. CBCFCMDMGKLBLWRB,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2027",Years Remaining 1235,Pos. AMCBCFCMDMGKLBLMRBRW,Pos. AMCBCFCMDMGKLBLMRBRMSS,Pos. AMCBCFCMDMGKLBLMLWRBRMRW,Pos. CBCFCMDMGKLBLMLWRBRW,Pos. CBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBRBRWSS,Pos. AMCBCFCMDMGKLBLMLWRBRWSS,Pos. CBCFCMDMGKLBRBRM,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLMLWRBRW,Pos. AMCBCFCMDMGKLWRBRW,Pos. AMCBCFCMDMGKLBRBRW
0,Ismaël Bennacer,"€ 135,385","€ 7,040,000","€ 370,000","Jan 12, 2023","Jun 30, 2027",5.0,"€ 35,200,000","€ 50,000,000",M,DM,25.0,Reserve,Algeria,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
1,Sergiño Dest,"€ 115,385","€ 6,000,000",,"Sep 1, 2022","Jun 30, 2023",1.0,"€ 6,000,000",,D,RB,22.0,Reserve,United States,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
2,Theo Hernández,"€ 98,654","€ 5,130,000",,"Feb 11, 2022","Jun 30, 2026",4.0,"€ 20,520,000",,D,LB,25.0,Starter,France,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
3,Divock Origi,"€ 98,654","€ 5,130,000",,"Jul 5, 2022","Jun 30, 2026",4.0,"€ 20,520,000",,F,CF,27.0,Reserve,Belgium,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
4,Sandro Tonali,"€ 89,038","€ 4,630,000",,"Sep 9, 2022","Jun 30, 2027",5.0,"€ 23,150,000",,M,DM,22.0,Starter,Italy,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
5,Tiemoué Bakayoko,"€ 89,038","€ 4,630,000",,"Aug 30, 2021","Jun 30, 2023",1.0,"€ 4,630,000",,M,DM,28.0,Reserve,France,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
6,Olivier Giroud,"€ 86,346","€ 4,490,000","€ 260,000","Jul 17, 2021","Jun 30, 2023",1.0,"€ 4,490,000",,F,CF,36.0,Starter,France,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
7,Fikayo Tomori,"€ 86,346","€ 4,490,000",,"Aug 12, 2022","Jun 30, 2027",5.0,"€ 22,450,000",,D,CB,25.0,Starter,England,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
8,Ante Rebic,"€ 86,346","€ 4,490,000",,"Sep 12, 2020","Jun 30, 2025",3.0,"€ 13,470,000",,F,LW,29.0,Reserve,Croatia,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
9,Alessandro Florenzi,"€ 71,154","€ 3,700,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 11,100,000",,D,RB,31.0,Reserve,Italy,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
10,Davide Calabria,"€ 71,154","€ 3,700,000",,"Jul 9, 2021","Jun 30, 2025",3.0,"€ 11,100,000",,D,RB,26.0,Starter,Italy,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
11,Mike Maignan,"€ 69,038","€ 3,590,000",,"Jul 1, 2021","Jun 30, 2026",4.0,"€ 14,360,000",,K,GK,27.0,Starter,France,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
12,Charles De Ketelaere,"€ 54,231","€ 2,820,000",,"Aug 2, 2022","Jun 30, 2027",5.0,"€ 14,100,000",,F,AM,21.0,Reserve,Belgium,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
13,Rade Krunic,"€ 53,462","€ 2,780,000",,"Sep 8, 2022","Jun 30, 2025",3.0,"€ 8,340,000",,M,CM,29.0,Starter,Bosnia-Herzegovina,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
