,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Merih Demiral,"€ 71,154","€ 3,700,000",,"Jun 18, 2022","Jun 30, 2026",4,"€ 14,800,000",,D,CB,24,Reserve,Turkey,,,Atalanta,Serie A,2022-2023
1,Duván Zapata,"€ 64,038","€ 3,330,000",,"Jan 17, 2020","Jun 30, 2024",2,"€ 6,660,000",,F,CF,31,Starter,Colombia,,,Atalanta,Serie A,2022-2023
2,Juan Musso,"€ 56,923","€ 2,960,000",,"Jul 2, 2021","Jun 30, 2025",3,"€ 8,880,000",,K,GK,28,Starter,Argentina,,,Atalanta,Serie A,2022-2023
3,Jérémie Boga,"€ 53,462","€ 2,780,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 2,780,000",,F,LW,26,Reserve,Cote d'Ivoire,,,Atalanta,Serie A,2022-2023
4,Éderson,"€ 49,231","€ 2,560,000",,"Jul 6, 2022","Jun 30, 2026",4,"€ 10,240,000",,M,CM,23,Reserve,Brazil,,,Atalanta,Serie A,2022-2023
5,Luis Muriel,"€ 44,423","€ 2,310,000",,"Jul 1, 2019","Jun 30, 2023",1,"€ 2,310,000",,F,CF,31,Reserve,Colombia,,,Atalanta,Serie A,2022-2023
6,Ademola Lookman,"€ 44,423","€ 2,310,000",,"Aug 4, 2022","Jun 30, 2026",4,"€ 9,240,000",,F,SS,25,Starter,Nigeria,,,Atalanta,Serie A,2022-2023
7,Teun Koopmeiners,"€ 36,923","€ 1,920,000",,"Aug 30, 2021","Jun 30, 2025",3,"€ 5,760,000",,M,DM,24,Starter,Netherlands,,,Atalanta,Serie A,2022-2023
8,Rafael Tolói,"€ 35,577","€ 1,850,000",,"Aug 26, 2015","Jun 30, 2024",2,"€ 3,700,000",,D,CB,32,Starter,Italy,,,Atalanta,Serie A,2022-2023
9,Mario Pasalic,"€ 35,577","€ 1,850,000",,"Sep 1, 2020","Jun 30, 2025",3,"€ 5,550,000",,F,AM,27,Reserve,Croatia,,,Atalanta,Serie A,2022-2023
10,Marten de Roon,"€ 35,577","€ 1,850,000",,"Aug 10, 2017","Jun 30, 2024",2,"€ 3,700,000",,M,DM,31,Starter,Netherlands,,,Atalanta,Serie A,2022-2023
11,Davide Zappacosta,"€ 32,115","€ 1,670,000",,"Aug 24, 2021","Jun 30, 2025",3,"€ 5,010,000",,D,RB,30,Starter,Italy,,,Atalanta,Serie A,2022-2023
12,Berat Djimsiti,"€ 28,462","€ 1,480,000",,"Mar 21, 2022","Jun 30, 2026",4,"€ 5,920,000",,D,CB,29,Starter,Albania,,,Atalanta,Serie A,2022-2023
13,Hans Hateboer,"€ 28,462","€ 1,480,000",,"Jan 31, 2017","Jun 30, 2024",2,"€ 2,960,000",,D,RB,29,Reserve,Netherlands,,,Atalanta,Serie A,2022-2023
14,José Luis Palomino,"€ 28,462","€ 1,480,000",,"Jul 1, 2017","Jun 30, 2023",1,"€ 1,480,000",,D,CB,33,Reserve,Argentina,,,Atalanta,Serie A,2022-2023
15,Joakim Maehle,"€ 24,615","€ 1,280,000",,"Jan 4, 2021","Jun 30, 2025",3,"€ 3,840,000",,D,LB,25,Starter,Denmark,,,Atalanta,Serie A,2022-2023
16,Marco Sportiello,"€ 21,346","€ 1,110,000",,"Jun 30, 2022","Jun 30, 2023",1,"€ 1,110,000",,K,GK,30,Reserve,Italy,,,Atalanta,Serie A,2022-2023
17,Caleb Okoli,"€ 20,000","€ 1,040,000",,"Sep 1, 2020","Jun 30, 2026",4,"€ 4,160,000",,D,CB,21,Reserve,Italy,,,Atalanta,Serie A,2022-2023
18,Brandon Soppy,"€ 14,808","€ 770,000",,"Aug 19, 2022","Jun 30, 2026",4,"€ 3,080,000",,D,RB,20,Reserve,France,,,Atalanta,Serie A,2022-2023
19,Rasmus Højlund,"€ 12,308","€ 640,000",,"Aug 27, 2022","Jun 30, 2027",5,"€ 3,200,000",,F,CF,19,Starter,Denmark,,,Atalanta,Serie A,2022-2023
20,Giorgio Scalvini,"€ 10,769","€ 560,000",,"Jul 9, 2021","Jun 30, 2027",5,"€ 2,800,000",,D,CB,19,Starter,Italy,,,Atalanta,Serie A,2022-2023
21,Francesco Rossi,"€ 3,654","€ 190,000",,"Jan 8, 2022","Jun 30, 2024",2,"€ 380,000",,K,GK,31,Reserve,Italy,,,Atalanta,Serie A,2022-2023
22,Matteo Ruggeri,"€ 1,346","€ 70,000",,"Jul 9, 2021","Jun 30, 2026",4,"€ 280,000",,D,LB,20,Reserve,Italy,,,Atalanta,Serie A,2022-2023
23,Simone Muratore,€ 769,"€ 40,000",,"Sep 1, 2020","Jun 30, 2023",1,"€ 40,000",,M,CM,24,Reserve,Italy,,,Atalanta,Serie A,2022-2023
24,Total,"€ 754,424","€ 39,230,000",€ 0,,,,"€ 107,880,000",€ 0,,,,,,,,Atalanta,Serie A,2022-2023
