,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Marko Arnautovic,"€ 66,538","€ 3,460,000",,"Aug 1, 2021","Jun 30, 2025",3,"€ 10,380,000",,F,CF,33,Starter,Austria,,,Bologna,Serie A,2022-2023
1,Nicola Sansone,"€ 39,423","€ 2,050,000",,"Jul 1, 2019","Jun 30, 2023",1,"€ 2,050,000",,F,LW,31,Reserve,Italy,,,Bologna,Serie A,2022-2023
2,Roberto Soriano,"€ 39,423","€ 2,050,000",,"Jul 1, 2019","Jun 30, 2023",1,"€ 2,050,000",,F,AM,31,Reserve,Italy,,,Bologna,Serie A,2022-2023
3,Riccardo Orsolini,"€ 39,231","€ 2,040,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 4,080,000",,F,RW,26,Starter,Italy,,,Bologna,Serie A,2022-2023
4,Gary Medel,"€ 36,923","€ 1,920,000",,"May 11, 2022","Jun 30, 2023",1,"€ 1,920,000",,M,DM,35,Reserve,Chile,,,Bologna,Serie A,2022-2023
5,Kevin Bonifazi,"€ 35,577","€ 1,850,000",,"Jul 2, 2021","Jun 30, 2025",3,"€ 5,550,000",,D,CB,26,Reserve,Italy,,,Bologna,Serie A,2022-2023
6,Andrea Cambiaso,"€ 35,577","€ 1,850,000",,"Jul 15, 2022","Jun 30, 2023",1,"€ 1,850,000",,D,LB,22,Starter,Italy,,,Bologna,Serie A,2022-2023
7,Lukasz Skorupski,"€ 32,115","€ 1,670,000",,"Aug 5, 2022","Jun 30, 2025",3,"€ 5,010,000",,K,GK,31,Starter,Poland,,,Bologna,Serie A,2022-2023
8,Lorenzo De Silvestri,"€ 32,115","€ 1,670,000",,"Jun 1, 2022","Jun 30, 2023",1,"€ 1,670,000",,D,RB,34,Reserve,Italy,,,Bologna,Serie A,2022-2023
9,Musa Barrow,"€ 28,462","€ 1,480,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 4,440,000",,F,LW,24,Reserve,The Gambia,,,Bologna,Serie A,2022-2023
10,Adama Soumaoro,"€ 26,731","€ 1,390,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 2,780,000",,D,CB,30,Reserve,France,,,Bologna,Serie A,2022-2023
11,Francesco Bardi,"€ 25,000","€ 1,300,000",,"Jul 5, 2022","Jun 30, 2023",1,"€ 1,300,000",,K,GK,31,Reserve,Italy,,,Bologna,Serie A,2022-2023
12,Nikola Moro,"€ 23,846","€ 1,240,000",,"Aug 29, 2022","Jun 30, 2023",1,"€ 1,240,000",,M,DM,24,Reserve,Croatia,,,Bologna,Serie A,2022-2023
13,Joshua Zirkzee,"€ 22,115","€ 1,150,000",,"Aug 30, 2022","Jun 30, 2026",4,"€ 4,600,000",,F,CF,21,Reserve,Netherlands,,,Bologna,Serie A,2022-2023
14,Stefan Posch,"€ 19,231","€ 1,000,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 1,000,000",,D,CB,25,Starter,Austria,,,Bologna,Serie A,2022-2023
15,Jhon Lucumí,"€ 18,462","€ 960,000",,"Aug 18, 2022","Jun 30, 2025",3,"€ 2,880,000",,D,CB,24,Reserve,Colombia,,,Bologna,Serie A,2022-2023
16,Charalampos Lykogiannis,"€ 17,885","€ 930,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 1,860,000",,D,LB,29,Starter,Greece,,,Bologna,Serie A,2022-2023
17,Nicolás Domínguez,"€ 17,308","€ 900,000",,"Aug 30, 2019","Jun 30, 2024",2,"€ 1,800,000",,M,CM,24,Starter,Argentina,,,Bologna,Serie A,2022-2023
18,Jerdy Schouten,"€ 12,308","€ 640,000",,"Aug 23, 2022","Jun 30, 2026",4,"€ 2,560,000",,M,DM,26,Starter,Netherlands,,,Bologna,Serie A,2022-2023
19,Michel Aebischer,"€ 12,308","€ 640,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 2,560,000",,M,CM,26,Starter,Switzerland,,,Bologna,Serie A,2022-2023
20,Gabriele Corbo,"€ 10,769","€ 560,000",,"Jul 1, 2019","Jun 30, 2023",1,"€ 560,000",,D,CB,23,Reserve,Italy,,,Bologna,Serie A,2022-2023
21,Lewis Ferguson,"€ 9,808","€ 510,000",,"Jul 12, 2022","Jun 30, 2026",4,"€ 2,040,000",,M,CM,23,Reserve,Scotland,,,Bologna,Serie A,2022-2023
22,Georgios Kyriakopoulos,"€ 9,808","€ 510,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 510,000",,D,LB,26,Starter,Greece,,,Bologna,Serie A,2022-2023
23,Joaquín Sosa,"€ 7,308","€ 380,000",,"Aug 17, 2022","Jun 30, 2027",5,"€ 1,900,000",,D,CB,21,Starter,Uruguay,,,Bologna,Serie A,2022-2023
24,Kacper Urbanski,"€ 1,731","€ 90,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 90,000",,M,DM,18,Reserve,Poland,,,Bologna,Serie A,2022-2023
25,Orji Okwonkwo,"€ 1,731","€ 90,000",,"Dec 1, 2016","Jun 30, 2024",2,"€ 180,000",,F,RW,25,Reserve,Nigeria,,,Bologna,Serie A,2022-2023
26,Antonio Raimondo,"€ 1,731","€ 90,000",,"May 10, 2022","Jun 30, 2027",5,"€ 450,000",,F,CF,18,Reserve,Italy,,,Bologna,Serie A,2022-2023
27,Nicola Bagnolini,"€ 1,154","€ 60,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 240,000",,K,GK,18,Reserve,Italy,,,Bologna,Serie A,2022-2023
28,Federico Ravaglia,"€ 1,154","€ 60,000",,"Aug 4, 2020","Jun 30, 2026",4,"€ 240,000",,K,GK,23,Reserve,Italy,,,Bologna,Serie A,2022-2023
29,Wisdom Amey,"€ 1,154","€ 60,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 180,000",,D,CB,17,Reserve,Togo,,,Bologna,Serie A,2022-2023
30,Total,"€ 626,926","€ 32,600,000",€ 0,,,,"€ 67,970,000",€ 0,,,,,,,,Bologna,Serie A,2022-2023
