,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2027",Years Remaining 1235,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Mattia Destro,"€ 53,462","€ 2,780,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 2,780,000",,F,CF,31,Reserve,Italy,,,Empoli,Serie A,2022-2023
1,Sebastiano Luperto,"€ 46,346","€ 2,410,000",,"Jul 18, 2022","Jun 30, 2023",1,"€ 2,410,000",,D,CB,26,Starter,Italy,,,Empoli,Serie A,2022-2023
2,Lorenzo Tonelli,"€ 35,577","€ 1,850,000",,"Aug 27, 2021","Jun 30, 2023",1,"€ 1,850,000",,D,CB,33,Reserve,Italy,,,Empoli,Serie A,2022-2023
3,Nicolas Haas,"€ 32,115","€ 1,670,000",,"Nov 14, 2022","Jun 30, 2025",3,"€ 5,010,000",,M,CM,27,Reserve,Switzerland,,,Empoli,Serie A,2022-2023
4,Ardian Ismajli,"€ 32,115","€ 1,670,000",,"Aug 9, 2021","Jun 30, 2025",3,"€ 5,010,000",,D,CB,26,Starter,Albania,,,Empoli,Serie A,2022-2023
5,Alberto Grassi,"€ 32,115","€ 1,670,000",,"Aug 17, 2022","Jun 30, 2023",1,"€ 1,670,000",,M,CM,27,Reserve,Italy,,,Empoli,Serie A,2022-2023
6,Francesco Caputo,"€ 28,462","€ 1,480,000",,"Jan 2, 2023","Jun 30, 2023",1,"€ 1,480,000",,F,CF,35,Starter,Italy,,,Empoli,Serie A,2022-2023
7,Liam Henderson,"€ 28,462","€ 1,480,000",,"Aug 11, 2021","Jun 30, 2025",3,"€ 4,440,000",,M,CM,26,Reserve,Scotland,,,Empoli,Serie A,2022-2023
8,Marko Pjaca,"€ 28,462","€ 1,480,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 1,480,000",,F,LW,27,Reserve,Croatia,,,Empoli,Serie A,2022-2023
9,Razvan Marin,"€ 24,615","€ 1,280,000",,"Jul 5, 2022","Jun 30, 2023",1,"€ 1,280,000",,M,CM,26,Starter,Romania,,,Empoli,Serie A,2022-2023
10,Filippo Bandinelli,"€ 21,346","€ 1,110,000",,"Oct 24, 2022","Jun 30, 2025",3,"€ 3,330,000",,M,CM,27,Starter,Italy,,,Empoli,Serie A,2022-2023
11,Guglielmo Vicario,"€ 21,346","€ 1,110,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 1,110,000",,K,GK,26,Starter,Italy,,,Empoli,Serie A,2022-2023
12,Jean-Daniel Akpa Akpro,"€ 17,885","€ 930,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 930,000",,M,CM,30,Starter,Cote d'Ivoire,,,Empoli,Serie A,2022-2023
13,Martín Satriano,"€ 12,500","€ 650,000",,"Jul 4, 2022","Jun 30, 2023",1,"€ 650,000",,F,CF,21,Reserve,Uruguay,,,Empoli,Serie A,2022-2023
14,Tyronne Ebuehi,"€ 12,308","€ 640,000",,"Jul 5, 2022","Jun 30, 2025",3,"€ 1,920,000",,D,RB,27,Starter,Nigeria,,,Empoli,Serie A,2022-2023
15,Petar Stojanovic,"€ 12,308","€ 640,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 640,000",,D,RB,27,Reserve,Slovenia,,,Empoli,Serie A,2022-2023
16,Roberto Piccoli,"€ 10,769","€ 560,000",,"Jan 31, 2023","Jun 30, 2024",2,"€ 1,120,000",,F,CF,22,Reserve,Italy,,,Empoli,Serie A,2022-2023
17,Tommaso Baldanzi,"€ 10,769","€ 560,000",,"Oct 24, 2022","Jun 30, 2027",5,"€ 2,800,000",,F,AM,19,Starter,Italy,,,Empoli,Serie A,2022-2023
18,Emanuel Vignato,"€ 10,769","€ 560,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 560,000",,F,RW,22,Reserve,Italy,,,Empoli,Serie A,2022-2023
19,Samir Ujkani,"€ 8,846","€ 460,000",,"Aug 29, 2022","Jun 30, 2023",1,"€ 460,000",,K,GK,34,Reserve,Kosovo,,,Empoli,Serie A,2022-2023
20,Sebastian Walukiewicz,"€ 7,308","€ 380,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 380,000",,D,CB,22,Reserve,Poland,,,Empoli,Serie A,2022-2023
21,Samuele Perisan,"€ 7,115","€ 370,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 1,110,000",,K,GK,25,Reserve,Italy,,,Empoli,Serie A,2022-2023
22,Liberato Cacace,"€ 5,577","€ 290,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 290,000",,D,LB,22,Reserve,New Zealand,,,Empoli,Serie A,2022-2023
23,Fabiano Parisi,"€ 3,654","€ 190,000",,"Aug 8, 2022","Jun 30, 2025",3,"€ 570,000",,D,LB,22,Starter,Italy,,,Empoli,Serie A,2022-2023
24,Nicolò Cambiaghi,"€ 2,885","€ 150,000",,"Aug 4, 2022","Jun 30, 2023",1,"€ 150,000",,F,LW,22,Starter,Italy,,,Empoli,Serie A,2022-2023
25,Koni De Winter,"€ 2,885","€ 150,000",,"Jul 9, 2022","Jun 30, 2023",1,"€ 150,000",,D,CB,20,Reserve,Belgium,,,Empoli,Serie A,2022-2023
26,Jacopo Fazzini,"€ 2,115","€ 110,000",,"Nov 14, 2022","Jun 30, 2027",5,"€ 550,000",,M,CM,19,Reserve,Italy,,,Empoli,Serie A,2022-2023
27,Duccio Degli Innocenti,"€ 1,154","€ 60,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 60,000",,M,DM,19,Reserve,Italy,,,Empoli,Serie A,2022-2023
28,Lovro Stubljar,€ 962,"€ 50,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 50,000",,K,GK,18,Reserve,Slovenia,,,Empoli,Serie A,2022-2023
29,Gabriele Guarino,€ 769,"€ 40,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 40,000",,D,CB,18,Reserve,Italy,,,Empoli,Serie A,2022-2023
30,Total,"€ 515,001","€ 26,780,000",€ 0,,,,"€ 44,280,000",€ 0,,,,,,,,Empoli,Serie A,2022-2023
