,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Nikola Milenković,"€ 106,923","€ 5,560,000","€ 1,850,000","Aug 11, 2022","Jun 30, 2027",5,"€ 27,800,000",,D,CB,25,Starter,Serbia,,,Fiorentina,Serie A,2022-2023
1,Nicolás González,"€ 61,731","€ 3,210,000",,"Jul 1, 2021","Jun 30, 2026",4,"€ 12,840,000",,F,LW,24,Starter,Argentina,,,Fiorentina,Serie A,2022-2023
2,Luka Jović,"€ 61,731","€ 3,210,000",,"Jul 8, 2022","Jun 30, 2024",2,"€ 6,420,000",,F,CF,25,Reserve,Serbia,,,Fiorentina,Serie A,2022-2023
3,Rolando Mandragora,"€ 56,923","€ 2,960,000",,"Jul 4, 2022","Jun 30, 2026",4,"€ 11,840,000",,M,DM,25,Reserve,Italy,,,Fiorentina,Serie A,2022-2023
4,Antonin Barak,"€ 53,462","€ 2,780,000",,"Aug 26, 2022","Jun 30, 2027",5,"€ 13,900,000",,F,AM,28,Reserve,Czech Republic,,,Fiorentina,Serie A,2022-2023
5,Giacomo Bonaventura,"€ 53,462","€ 2,780,000","€ 740,000","Jan 14, 2023","Jun 30, 2024",2,"€ 5,560,000",,M,CM,33,Starter,Italy,,,Fiorentina,Serie A,2022-2023
6,Gaetano Castrovilli,"€ 49,808","€ 2,590,000",,"Oct 10, 2019","Jun 30, 2024",2,"€ 5,180,000",,M,CM,25,Reserve,Italy,,,Fiorentina,Serie A,2022-2023
7,Alfred Duncan,"€ 46,346","€ 2,410,000",,"Sep 1, 2020","Jun 30, 2024",2,"€ 4,820,000",,M,CM,29,Starter,Ghana,,,Fiorentina,Serie A,2022-2023
8,Christian Kouamé,"€ 42,692","€ 2,220,000",,"Sep 1, 2020","Jun 30, 2024",2,"€ 4,440,000",,F,CF,25,Starter,Cote d'Ivoire,,,Fiorentina,Serie A,2022-2023
9,Cristiano Biraghi,"€ 42,692","€ 2,220,000",,"Oct 27, 2020","Jun 30, 2024",2,"€ 4,440,000",,D,LB,30,Starter,Italy,,,Fiorentina,Serie A,2022-2023
10,Arthur Cabral,"€ 41,923","€ 2,180,000",,"Jan 29, 2022","Jun 30, 2026",4,"€ 8,720,000",,F,CF,24,Reserve,Brazil,,,Fiorentina,Serie A,2022-2023
11,Jonathan Ikoné,"€ 41,923","€ 2,180,000",,"Jan 3, 2022","Jun 30, 2026",4,"€ 8,720,000",,F,RW,24,Starter,France,,,Fiorentina,Serie A,2022-2023
12,Josip Brekalo,"€ 39,423","€ 2,050,000",,"Jan 28, 2023","Jun 30, 2026",4,"€ 8,200,000",,F,LW,24,Reserve,Croatia,,,Fiorentina,Serie A,2022-2023
13,Sofyan Amrabat,"€ 36,923","€ 1,920,000",,"Jan 30, 2020","Jun 30, 2024",2,"€ 3,840,000",,M,DM,26,Starter,Morocco,,,Fiorentina,Serie A,2022-2023
14,Dodô,"€ 36,923","€ 1,920,000",,"Jul 22, 2022","Jun 30, 2027",5,"€ 9,600,000",,D,RB,24,Starter,Brazil,,,Fiorentina,Serie A,2022-2023
15,Pietro Terracciano,"€ 28,462","€ 1,480,000",,"Oct 8, 2022","Jun 30, 2025",3,"€ 4,440,000",,K,GK,32,Starter,Italy,,,Fiorentina,Serie A,2022-2023
16,Salvatore Sirigu,"€ 25,000","€ 1,300,000",,"Jan 25, 2023","Jun 30, 2023",1,"€ 1,300,000",,K,GK,36,Reserve,Italy,,,Fiorentina,Serie A,2022-2023
17,Riccardo Saponara,"€ 24,615","€ 1,280,000",,"Jun 30, 2022","Jun 30, 2023",1,"€ 1,280,000",,F,AM,31,Reserve,Italy,,,Fiorentina,Serie A,2022-2023
18,Lucas Martínez Quarta,"€ 24,615","€ 1,280,000",,"Oct 5, 2020","Jun 30, 2025",3,"€ 3,840,000",,D,CB,26,Reserve,Argentina,,,Fiorentina,Serie A,2022-2023
19,Luca Ranieri,"€ 21,346","€ 1,110,000",,"Jul 1, 2018","Jun 30, 2024",2,"€ 2,220,000",,D,LB,23,Reserve,Italy,,,Fiorentina,Serie A,2022-2023
20,Riccardo Sottil,"€ 21,346","€ 1,110,000",,"Oct 13, 2021","Jun 30, 2026",4,"€ 4,440,000",,F,LW,23,Reserve,Italy,,,Fiorentina,Serie A,2022-2023
21,Igor,"€ 17,308","€ 900,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 1,800,000",,D,CB,24,Starter,Brazil,,,Fiorentina,Serie A,2022-2023
22,Lorenzo Venuti,"€ 14,231","€ 740,000",,"Oct 18, 2019","Jun 30, 2024",2,"€ 1,480,000",,D,RB,27,Reserve,Italy,,,Fiorentina,Serie A,2022-2023
23,Aleksa Terzić,"€ 7,308","€ 380,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 760,000",,D,LB,23,Reserve,Serbia,,,Fiorentina,Serie A,2022-2023
