,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Simone Verdi,"€ 60,577","€ 3,150,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 3,150,000",,F,AM,30,Reserve,Italy,,,Hellas Verona,Serie A,2022-2023
1,Kevin Lasagna,"€ 25,000","€ 1,300,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 3,900,000",,F,CF,30,Starter,Italy,,,Hellas Verona,Serie A,2022-2023
2,Adolfo Gaich,"€ 23,654","€ 1,230,000",,"Jan 30, 2023","Jun 30, 2023",1,"€ 1,230,000",,F,CF,23,Reserve,Argentina,,,Hellas Verona,Serie A,2022-2023
3,Giangiacomo Magnani,"€ 21,346","€ 1,110,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 3,330,000",,D,CB,27,Starter,Italy,,,Hellas Verona,Serie A,2022-2023
4,Darko Lazović,"€ 21,346","€ 1,110,000",,"May 28, 2021","Jun 30, 2024",2,"€ 2,220,000",,M,LM,32,Starter,Serbia,,,Hellas Verona,Serie A,2022-2023
5,Ondrej Duda,"€ 21,154","€ 1,100,000",,"Jan 29, 2023","Jun 30, 2023",1,"€ 1,100,000",,F,AM,28,Starter,Slovakia,,,Hellas Verona,Serie A,2022-2023
6,Thomas Henry,"€ 19,808","€ 1,030,000",,"Jul 16, 2022","Jun 30, 2026",4,"€ 4,120,000",,F,CF,28,Reserve,France,,,Hellas Verona,Serie A,2022-2023
7,Federico Ceccherini,"€ 17,885","€ 930,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 1,860,000",,D,CB,30,Starter,Italy,,,Hellas Verona,Serie A,2022-2023
8,Davide Faraoni,"€ 17,885","€ 930,000",,"Oct 5, 2022","Jun 30, 2025",3,"€ 2,790,000",,D,RB,31,Reserve,Italy,,,Hellas Verona,Serie A,2022-2023
9,Miguel Veloso,"€ 17,885","€ 930,000",,"Apr 13, 2022","Jun 30, 2023",1,"€ 930,000",,M,DM,36,Reserve,Portugal,,,Hellas Verona,Serie A,2022-2023
10,Milan Djuric,"€ 17,308","€ 900,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 2,700,000",,F,CF,32,Reserve,Bosnia-Herzegovina,,,Hellas Verona,Serie A,2022-2023
11,Isak Hien,"€ 14,808","€ 770,000",,"Aug 27, 2022","Jun 30, 2026",4,"€ 3,080,000",,D,CB,24,Starter,Sweden,,,Hellas Verona,Serie A,2022-2023
12,Oliver Abildgaard,"€ 13,654","€ 710,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 710,000",,M,DM,26,Reserve,Denmark,,,Hellas Verona,Serie A,2022-2023
13,Fabio Depaoli,"€ 12,500","€ 650,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 650,000",,D,RB,25,Starter,Italy,,,Hellas Verona,Serie A,2022-2023
14,Adrien Tamèze,"€ 12,308","€ 640,000",,"Sep 3, 2020","Jun 30, 2024",2,"€ 1,280,000",,M,DM,28,Starter,Cameroon,,,Hellas Verona,Serie A,2022-2023
15,Josh Doig,"€ 12,308","€ 640,000",,"Jul 13, 2022","Jun 30, 2026",4,"€ 2,560,000",,D,LB,20,Starter,Scotland,,,Hellas Verona,Serie A,2022-2023
16,Deyovaisio Zeefuik,"€ 11,538","€ 600,000",,"Jan 16, 2023","Jun 30, 2023",1,"€ 600,000",,D,RB,24,Reserve,Netherlands,,,Hellas Verona,Serie A,2022-2023
17,Lorenzo Montipò,"€ 9,615","€ 500,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 1,500,000",,K,GK,26,Starter,Italy,,,Hellas Verona,Serie A,2022-2023
18,Yayah Kallon,"€ 8,846","€ 460,000",,"Aug 26, 2022","Jun 30, 2023",1,"€ 460,000",,F,RW,21,Reserve,Sierra Leone,,,Hellas Verona,Serie A,2022-2023
