,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMRBRMSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Lautaro Martínez,"€ 213,654","€ 11,110,000",,"Oct 28, 2021","Jun 30, 2026",4,"€ 44,440,000",,F,CF,25,Reserve,Argentina,,,Inter Milan,Serie A,2022-2023
1,Marcelo Brozovic,"€ 213,654","€ 11,110,000",,"Mar 23, 2022","Jun 30, 2026",4,"€ 44,440,000",,M,DM,30,Starter,Croatia,,,Inter Milan,Serie A,2022-2023
2,Romelu Lukaku,"€ 209,615","€ 10,900,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 10,900,000",,F,CF,29,Reserve,Belgium,,,Inter Milan,Serie A,2022-2023
3,Hakan Calhanoglu,"€ 178,077","€ 9,260,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 18,520,000",,M,CM,28,Starter,Turkey,,,Inter Milan,Serie A,2022-2023
4,Nicolò Barella,"€ 178,077","€ 9,260,000",,"Nov 5, 2021","Jun 30, 2026",4,"€ 37,040,000",,M,CM,25,Starter,Italy,,,Inter Milan,Serie A,2022-2023
5,Edin Dzeko,"€ 178,077","€ 9,260,000",,"Aug 14, 2021","Jun 30, 2023",1,"€ 9,260,000",,F,CF,36,Starter,Bosnia-Herzegovina,,,Inter Milan,Serie A,2022-2023
6,Stefan de Vrij,"€ 135,385","€ 7,040,000",,"Jul 1, 2018","Jun 30, 2023",1,"€ 7,040,000",,D,CB,30,Starter,Netherlands,,,Inter Milan,Serie A,2022-2023
7,Joaquín Correa,"€ 124,615","€ 6,480,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 19,440,000",,F,SS,28,Reserve,Argentina,,,Inter Milan,Serie A,2022-2023
8,Alexis Sánchez,"€ 110,962","€ 5,770,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 5,770,000",,F,CF,33,Reserve,Chile,,,Inter Milan,Serie A,2022-2023
9,Milan Skriniar,"€ 106,923","€ 5,560,000",,"May 16, 2019","Jun 30, 2023",1,"€ 5,560,000",,D,CB,27,Starter,Slovakia,,,Inter Milan,Serie A,2022-2023
