,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMLWRBRMRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Dusan Vlahovic,"€ 249,231","€ 12,960,000",,"Jan 28, 2022","Jun 30, 2026",4,"€ 51,840,000",,F,CF,23,Starter,Serbia,,,Juventus,Serie A,2022-2023
1,Wojciech Szczesny,"€ 231,538","€ 12,040,000",,"Feb 11, 2020","Jun 30, 2024",2,"€ 24,080,000",,K,GK,32,Starter,Poland,,,Juventus,Serie A,2022-2023
2,Leonardo Bonucci,"€ 231,538","€ 12,040,000",,"Nov 19, 2019","Jun 30, 2024",2,"€ 24,080,000",,D,CB,35,Reserve,Italy,,,Juventus,Serie A,2022-2023
3,Alex Sandro,"€ 213,654","€ 11,110,000",,"Dec 20, 2018","Jun 30, 2023",1,"€ 11,110,000",,D,LB,32,Starter,Brazil,,,Juventus,Serie A,2022-2023
4,Paul Pogba,"€ 197,308","€ 10,260,000","€ 2,560,000","Jul 11, 2022","Jun 30, 2026",4,"€ 41,040,000",,M,CM,29,Reserve,France,,,Juventus,Serie A,2022-2023
5,Juan Cuadrado,"€ 178,077","€ 9,260,000",,"Apr 15, 2022","Jun 30, 2023",1,"€ 9,260,000",,M,RM,34,Reserve,Colombia,,,Juventus,Serie A,2022-2023
6,Bremer,"€ 178,077","€ 9,260,000","€ 1,850,000","Jul 20, 2022","Jun 30, 2027",5,"€ 46,300,000",,D,CB,25,Starter,Brazil,,,Juventus,Serie A,2022-2023
7,Federico Chiesa,"€ 178,077","€ 9,260,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 27,780,000",,F,RW,25,Starter,Italy,,,Juventus,Serie A,2022-2023
8,Adrien Rabiot,"€ 172,500","€ 8,970,000","€ 2,560,000","Jul 1, 2019","Jun 30, 2023",1,"€ 8,970,000",,M,CM,27,Starter,France,,,Juventus,Serie A,2022-2023
9,Leandro Paredes,"€ 172,500","€ 8,970,000","€ 640,000","Aug 31, 2022","Jun 30, 2023",1,"€ 8,970,000",,M,DM,28,Reserve,Argentina,,,Juventus,Serie A,2022-2023
10,Ángel Di María,"€ 147,885","€ 7,690,000","€ 1,280,000","Jul 8, 2022","Jun 30, 2023",1,"€ 7,690,000",,F,RW,34,Starter,Argentina,,,Juventus,Serie A,2022-2023
11,Daniele Rugani,"€ 124,615","€ 6,480,000",,"Mar 28, 2019","Jun 30, 2024",2,"€ 12,960,000",,D,CB,28,Reserve,Italy,,,Juventus,Serie A,2022-2023
12,Manuel Locatelli,"€ 106,923","€ 5,560,000",,"Aug 18, 2021","Jun 30, 2023",1,"€ 5,560,000",,M,DM,25,Starter,Italy,,,Juventus,Serie A,2022-2023
13,Danilo,"€ 98,654","€ 5,130,000",,"Mar 2, 2023","Jun 30, 2025",3,"€ 15,390,000",,D,RB,31,Starter,Brazil,,,Juventus,Serie A,2022-2023
14,Arkadiusz Milik,"€ 86,346","€ 4,490,000",,"Aug 26, 2022","Jun 30, 2023",1,"€ 4,490,000",,F,CF,28,Reserve,Poland,,,Juventus,Serie A,2022-2023
15,Aaron Ramsey,"€ 74,038","€ 3,850,000",,,"Jun 30, 2023",1,"€ 3,850,000",,M,CM,31,Reserve,Wales,,,Juventus,Serie A,2022-2023
16,Moise Kean,"€ 74,038","€ 3,850,000",,"Aug 31, 2021","Jun 30, 2023",1,"€ 3,850,000",,F,CF,22,Reserve,Italy,,,Juventus,Serie A,2022-2023
17,Arthur,"€ 61,731","€ 3,210,000",,"Sep 1, 2022","Jun 30, 2025",3,"€ 9,630,000",,M,DM,26,Reserve,Brazil,,,Juventus,Serie A,2022-2023
18,Filip Kostić,"€ 61,731","€ 3,210,000",,"Aug 12, 2022","Jun 30, 2026",4,"€ 12,840,000",,M,LM,30,Starter,Serbia,,,Juventus,Serie A,2022-2023
