,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLMLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Ciro Immobile,"€ 142,500","€ 7,410,000",,"Jun 30, 2021","Jun 30, 2026",4,"€ 29,640,000",,F,CF,32,Starter,Italy,,,Lazio,Serie A,2022-2023
1,Sergej Milinković-Savić,"€ 114,038","€ 5,930,000",,"Oct 1, 2018","Jun 30, 2024",2,"€ 11,860,000",,M,CM,27,Starter,Serbia,,,Lazio,Serie A,2022-2023
2,Alessio Romagnoli,"€ 106,923","€ 5,560,000","€ 740,000","Jul 12, 2022","Jun 30, 2027",5,"€ 27,800,000",,D,CB,28,Starter,Italy,,,Lazio,Serie A,2022-2023
3,Luis Alberto,"€ 89,038","€ 4,630,000","€ 1,850,000","Sep 28, 2020","Jun 30, 2025",3,"€ 13,890,000",,M,CM,30,Starter,Spain,,,Lazio,Serie A,2022-2023
4,Mattia Zaccagni,"€ 71,154","€ 3,700,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 11,100,000",,F,LW,27,Starter,Italy,,,Lazio,Serie A,2022-2023
5,Elseid Hysaj,"€ 71,154","€ 3,700,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 11,100,000",,D,RB,28,Starter,Albania,,,Lazio,Serie A,2022-2023
6,Matías Vecino,"€ 67,692","€ 3,520,000",,"Aug 1, 2022","Jun 30, 2025",3,"€ 10,560,000",,M,CM,31,Reserve,Uruguay,,,Lazio,Serie A,2022-2023
7,Pedro,"€ 61,731","€ 3,210,000",,"Aug 19, 2021","Jun 30, 2023",1,"€ 3,210,000",,F,RW,35,Reserve,Spain,,,Lazio,Serie A,2022-2023
8,Manuel Lazzari,"€ 60,577","€ 3,150,000",,"Nov 22, 2022","Jun 30, 2027",5,"€ 15,750,000",,D,RB,29,Reserve,Italy,,,Lazio,Serie A,2022-2023
9,Felipe Anderson,"€ 54,231","€ 2,820,000",,"Jul 16, 2021","Jun 30, 2024",2,"€ 5,640,000",,F,RW,29,Starter,Brazil,,,Lazio,Serie A,2022-2023
10,Danilo Cataldi,"€ 49,808","€ 2,590,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 5,180,000",,M,DM,28,Starter,Italy,,,Lazio,Serie A,2022-2023
11,Luca Pellegrini,"€ 46,346","€ 2,410,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 2,410,000",,D,LB,23,Reserve,Italy,,,Lazio,Serie A,2022-2023
12,Stefan Radu,"€ 42,692","€ 2,220,000",,"Aug 19, 2021","Jun 30, 2023",1,"€ 2,220,000",,D,LB,36,Reserve,Romania,,,Lazio,Serie A,2022-2023
13,Patric,"€ 42,692","€ 2,220,000",,"Jul 5, 2022","Jun 30, 2027",5,"€ 11,100,000",,D,CB,29,Reserve,Spain,,,Lazio,Serie A,2022-2023
14,Mohamed Fares,"€ 42,692","€ 2,220,000",,"Oct 1, 2020","Jun 30, 2025",3,"€ 6,660,000",,M,LM,26,Reserve,Algeria,,,Lazio,Serie A,2022-2023
15,Nicolò Casale,"€ 35,577","€ 1,850,000",,"Jul 8, 2022","Jun 30, 2027",5,"€ 9,250,000",,D,CB,24,Starter,Italy,,,Lazio,Serie A,2022-2023
16,Matteo Cancellieri,"€ 35,577","€ 1,850,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 1,850,000",,F,RW,20,Reserve,Italy,,,Lazio,Serie A,2022-2023
17,Ivan Provedel,"€ 35,577","€ 1,850,000",,"Aug 8, 2022","Jun 30, 2027",5,"€ 9,250,000",,K,GK,28,Starter,Italy,,,Lazio,Serie A,2022-2023
18,Toma Basic,"€ 34,423","€ 1,790,000",,"Aug 25, 2021","Jun 30, 2026",4,"€ 7,160,000",,M,CM,26,Reserve,Croatia,,,Lazio,Serie A,2022-2023
19,Adam Marusic,"€ 32,115","€ 1,670,000",,"Mar 30, 2022","Jun 30, 2025",3,"€ 5,010,000",,D,RB,30,Starter,Montenegro,,,Lazio,Serie A,2022-2023
20,Luís Maximiano,"€ 24,615","€ 1,280,000",,"Jul 13, 2022","Jun 30, 2027",5,"€ 6,400,000",,K,GK,24,Reserve,Portugal,,,Lazio,Serie A,2022-2023
21,Marcos Antônio,"€ 22,115","€ 1,150,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 5,750,000",,M,CM,22,Reserve,Brazil,,,Lazio,Serie A,2022-2023
22,Mario Gila,"€ 12,308","€ 640,000",,"Jul 12, 2022","Jun 30, 2027",5,"€ 3,200,000",,D,CB,22,Reserve,Spain,,,Lazio,Serie A,2022-2023
23,Luka Romero,"€ 9,808","€ 510,000",,"Jul 20, 2021","Jun 30, 2023",1,"€ 510,000",,F,RW,18,Reserve,Argentina,,,Lazio,Serie A,2022-2023
24,Marius Adamonis,"€ 3,654","€ 190,000",,"Jul 1, 2017","Jun 30, 2025",3,"€ 570,000",,K,GK,25,Reserve,Lithuania,,,Lazio,Serie A,2022-2023
25,Diego González,"€ 2,500","€ 130,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 130,000",,F,LW,20,Reserve,Paraguay,,,Lazio,Serie A,2022-2023
26,Marco Bertini,"€ 1,346","€ 70,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 140,000",,M,DM,20,Reserve,Italy,,,Lazio,Serie A,2022-2023
27,Total,"€ 1,312,883","€ 68,270,000","€ 2,590,000",,,,"€ 217,340,000",€ 0,,,,,,,,Lazio,Serie A,2022-2023
