,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Samuel Umtiti,"€ 236,731","€ 12,310,000",,"Aug 25, 2022","Jun 30, 2023",1,"€ 12,310,000",,D,CB,29,Starter,France,,,Lecce,Serie A,2022-2023
1,Marin Pongracic,"€ 48,077","€ 2,500,000",,"Aug 22, 2022","Jun 30, 2023",1,"€ 2,500,000",,D,CB,25,Reserve,Croatia,,,Lecce,Serie A,2022-2023
2,Federico Di Francesco,"€ 26,731","€ 1,390,000",,"Jul 31, 2022","Jun 30, 2025",3,"€ 4,170,000",,F,LW,28,Starter,Italy,,,Lecce,Serie A,2022-2023
3,Youssef Maleh,"€ 25,000","€ 1,300,000",,"Jan 3, 2023","Jun 30, 2023",1,"€ 1,300,000",,M,CM,24,Reserve,Morocco,,,Lecce,Serie A,2022-2023
4,Assan Ceesay,"€ 24,615","€ 1,280,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 2,560,000",,F,CF,28,Reserve,The Gambia,,,Lecce,Serie A,2022-2023
5,Antonino Gallo,"€ 18,462","€ 960,000",,"Dec 9, 2022","Jun 30, 2026",4,"€ 3,840,000",,D,LB,23,Starter,Italy,,,Lecce,Serie A,2022-2023
6,Rémi Oudin,"€ 18,077","€ 940,000",,"Aug 31, 2022","Jun 30, 2023",1,"€ 940,000",,F,RW,26,Reserve,France,,,Lecce,Serie A,2022-2023
7,Simone Romagnoli,"€ 17,885","€ 930,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 930,000",,D,CB,32,Reserve,Italy,,,Lecce,Serie A,2022-2023
8,Alessandro Tuia,"€ 14,231","€ 740,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 740,000",,D,CB,32,Reserve,Italy,,,Lecce,Serie A,2022-2023
9,Giuseppe Pezzella,"€ 12,500","€ 650,000",,"Aug 26, 2022","Jun 30, 2023",1,"€ 650,000",,D,LB,25,Reserve,Italy,,,Lecce,Serie A,2022-2023
10,Joan González,"€ 12,308","€ 640,000",,"Dec 6, 2022","Jun 30, 2027",5,"€ 3,200,000",,M,CM,21,Starter,Spain,,,Lecce,Serie A,2022-2023
11,Alexis Blin,"€ 12,308","€ 640,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 1,920,000",,M,DM,26,Starter,France,,,Lecce,Serie A,2022-2023
12,Lameck Banda,"€ 12,308","€ 640,000",,"Aug 4, 2022","Jun 30, 2026",4,"€ 2,560,000",,F,LW,22,Reserve,Zambia,,,Lecce,Serie A,2022-2023
13,Kastriot Dermaku,"€ 10,769","€ 560,000",,"Aug 30, 2021","Jun 30, 2024",2,"€ 1,120,000",,D,CB,31,Reserve,Albania,,,Lecce,Serie A,2022-2023
14,Lorenzo Colombo,"€ 10,769","€ 560,000",,"Jul 7, 2022","Jun 30, 2023",1,"€ 560,000",,F,CF,20,Starter,Italy,,,Lecce,Serie A,2022-2023
15,Pietro Ceccaroni,"€ 10,769","€ 560,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 560,000",,D,CB,27,Reserve,Italy,,,Lecce,Serie A,2022-2023
16,Federico Baschirotto,"€ 10,769","€ 560,000",,"Jul 12, 2022","Jun 30, 2025",3,"€ 1,680,000",,D,CB,26,Starter,Italy,,,Lecce,Serie A,2022-2023
17,Marco Bleve,"€ 10,385","€ 540,000",,"Jun 30, 2021","Jun 30, 2023",1,"€ 540,000",,K,GK,27,Reserve,Italy,,,Lecce,Serie A,2022-2023
18,Gabriel Strefezza,"€ 8,846","€ 460,000",,"Aug 12, 2021","Jun 30, 2025",3,"€ 1,380,000",,F,RW,25,Starter,Brazil,,,Lecce,Serie A,2022-2023
19,Morten Hjulmand,"€ 7,115","€ 370,000",,"Jan 16, 2021","Jun 30, 2024",2,"€ 740,000",,M,DM,23,Starter,Denmark,,,Lecce,Serie A,2022-2023
20,Joel Voelkerling Persson,"€ 3,654","€ 190,000",,"Jul 13, 2022","Jun 30, 2027",5,"€ 950,000",,F,CF,20,Reserve,Sweden,,,Lecce,Serie A,2022-2023
21,Daniel Samek,"€ 3,654","€ 190,000",,"Jul 30, 2022","Jun 30, 2027",5,"€ 950,000",,M,DM,18,Reserve,Czech Republic,,,Lecce,Serie A,2022-2023
22,Tommaso Cassandro,"€ 3,654","€ 190,000",,"Jan 17, 2023","Jun 30, 2025",3,"€ 570,000",,D,RB,23,Reserve,Italy,,,Lecce,Serie A,2022-2023
