,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Pablo Marí,"€ 100,000","€ 5,200,000",,"Aug 11, 2022","Jun 30, 2023",1,"€ 5,200,000",,D,CB,29,Starter,Spain,,,Monza,Serie A,2022-2023
1,Stefano Sensi,"€ 71,154","€ 3,700,000",,"Jul 2, 2022","Jun 30, 2023",1,"€ 3,700,000",,M,CM,27,Starter,Italy,,,Monza,Serie A,2022-2023
2,Andrea Petagna,"€ 64,038","€ 3,330,000",,"Aug 12, 2022","Jun 30, 2023",1,"€ 3,330,000",,F,CF,27,Starter,Italy,,,Monza,Serie A,2022-2023
3,Armando Izzo,"€ 60,577","€ 3,150,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 3,150,000",,D,CB,30,Starter,Italy,,,Monza,Serie A,2022-2023
4,Marlon,"€ 49,231","€ 2,560,000",,"Aug 5, 2022","Jun 30, 2023",1,"€ 2,560,000",,D,CB,27,Starter,Brazil,,,Monza,Serie A,2022-2023
5,Nicolò Rovella,"€ 35,577","€ 1,850,000",,"Aug 31, 2022","Jun 30, 2023",1,"€ 1,850,000",,M,DM,21,Starter,Italy,,,Monza,Serie A,2022-2023
6,Alessio Cragno,"€ 35,577","€ 1,850,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 1,850,000",,K,GK,28,Reserve,Italy,,,Monza,Serie A,2022-2023
7,Gianluca Caprari,"€ 32,115","€ 1,670,000",,"Jul 21, 2022","Jun 30, 2023",1,"€ 1,670,000",,F,SS,29,Starter,Italy,,,Monza,Serie A,2022-2023
8,Matteo Pessina,"€ 28,462","€ 1,480,000",,"Jul 6, 2022","Jun 30, 2023",1,"€ 1,480,000",,F,AM,25,Starter,Italy,,,Monza,Serie A,2022-2023
9,Luca Caldirola,"€ 24,231","€ 1,260,000",,"Jul 17, 2021","Jun 30, 2023",1,"€ 1,260,000",,D,CB,32,Reserve,Italy,,,Monza,Serie A,2022-2023
