,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Paulo Dybala,"€ 135,385","€ 7,040,000","€ 4,070,000","Jul 20, 2022","Jun 30, 2025",3,"€ 21,120,000","€ 20,000,000",F,SS,29,Starter,Argentina,,,Roma,Serie A,2022-2023
1,Lorenzo Pellegrini,"€ 124,615","€ 6,480,000","€ 930,000","Oct 2, 2021","Jun 30, 2026",4,"€ 25,920,000",,F,AM,26,Starter,Italy,,,Roma,Serie A,2022-2023
2,Gianluca Mancini,"€ 124,615","€ 6,480,000","€ 930,000","Jul 12, 2022","Jun 30, 2027",5,"€ 32,400,000",,D,CB,26,Starter,Italy,,,Roma,Serie A,2022-2023
3,Stephan El Shaarawy,"€ 124,615","€ 6,480,000",,"Jan 30, 2021","Jun 30, 2023",1,"€ 6,480,000",,F,LW,30,Starter,Italy,,,Roma,Serie A,2022-2023
4,Georginio Wijnaldum,"€ 123,269","€ 6,410,000",,"Aug 5, 2022","Jun 30, 2023",1,"€ 6,410,000",,M,CM,32,Reserve,Netherlands,,,Roma,Serie A,2022-2023
5,Tammy Abraham,"€ 110,962","€ 5,770,000",,"Aug 17, 2021","Jun 30, 2026",4,"€ 23,080,000",,F,CF,25,Starter,England,,,Roma,Serie A,2022-2023
6,Leonardo Spinazzola,"€ 106,923","€ 5,560,000",,"Oct 5, 2019","Jun 30, 2024",2,"€ 11,120,000",,D,LB,29,Reserve,Italy,,,Roma,Serie A,2022-2023
7,Nemanja Matić,"€ 98,654","€ 5,130,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 5,130,000",,M,DM,34,Starter,Serbia,,,Roma,Serie A,2022-2023
8,Chris Smalling,"€ 93,654","€ 4,870,000",,"Oct 5, 2020","Jun 30, 2023",1,"€ 4,870,000",,D,CB,33,Starter,England,,,Roma,Serie A,2022-2023
9,Andrea Belotti,"€ 85,385","€ 4,440,000","€ 740,000","Aug 28, 2022","Jun 30, 2023",1,"€ 4,440,000",,F,CF,29,Reserve,Italy,,,Roma,Serie A,2022-2023
10,Rick Karsdorp,"€ 78,269","€ 4,070,000",,"Mar 12, 2021","Jun 30, 2025",3,"€ 12,210,000",,D,RB,27,Reserve,Netherlands,,,Roma,Serie A,2022-2023
11,Rui Patrício,"€ 74,038","€ 3,850,000",,"Jul 13, 2021","Jun 30, 2024",2,"€ 7,700,000",,K,GK,34,Starter,Portugal,,,Roma,Serie A,2022-2023
12,Marash Kumbulla,"€ 64,038","€ 3,330,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 9,990,000",,D,CB,22,Reserve,Albania,,,Roma,Serie A,2022-2023
13,Bryan Cristante,"€ 64,038","€ 3,330,000",,"Jan 8, 2020","Jun 30, 2024",2,"€ 6,660,000",,M,DM,27,Starter,Italy,,,Roma,Serie A,2022-2023
14,Zeki Celik,"€ 49,231","€ 2,560,000",,"Jul 5, 2022","Jun 30, 2026",4,"€ 10,240,000",,D,RB,25,Reserve,Turkey,,,Roma,Serie A,2022-2023
15,Roger Ibañez,"€ 36,923","€ 1,920,000",,"Mar 4, 2021","Jun 30, 2025",3,"€ 5,760,000",,D,CB,24,Starter,Brazil,,,Roma,Serie A,2022-2023
16,Diego Llorente,"€ 31,731","€ 1,650,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 1,650,000",,D,CB,29,Reserve,Spain,,,Roma,Serie A,2022-2023
17,Mady Camara,"€ 29,615","€ 1,540,000",,"Aug 31, 2022","Jun 30, 2023",1,"€ 1,540,000",,M,CM,25,Reserve,Guinea,,,Roma,Serie A,2022-2023
