,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBRBRM,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Federico Fazio,"€ 89,038","€ 4,630,000",,"Jan 29, 2022","Jun 30, 2024",2,"€ 9,260,000",,D,CB,35,Reserve,Argentina,,,Salernitana,Serie A,2022-2023
1,Krzysztof Piatek,"€ 74,038","€ 3,850,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 3,850,000",,F,CF,27,Starter,Poland,,,Salernitana,Serie A,2022-2023
2,Antonio Candreva,"€ 46,346","€ 2,410,000",,"Aug 12, 2022","Jun 30, 2023",1,"€ 2,410,000",,M,RM,35,Starter,Italy,,,Salernitana,Serie A,2022-2023
3,Federico Bonazzoli,"€ 42,692","€ 2,220,000",,"Jul 26, 2022","Jun 30, 2026",4,"€ 8,880,000",,F,CF,25,Reserve,Italy,,,Salernitana,Serie A,2022-2023
4,Junior Sambia,"€ 36,923","€ 1,920,000",,"Jul 19, 2022","Jun 30, 2026",4,"€ 7,680,000",,D,RB,26,Starter,France,,,Salernitana,Serie A,2022-2023
5,Giulio Maggiore,"€ 35,577","€ 1,850,000",,"Aug 16, 2022","Jun 30, 2026",4,"€ 7,400,000",,M,CM,24,Reserve,Italy,,,Salernitana,Serie A,2022-2023
6,Boulaye Dia,"€ 34,423","€ 1,790,000",,"Aug 18, 2022","Jun 30, 2023",1,"€ 1,790,000",,F,CF,26,Starter,Senegal,,,Salernitana,Serie A,2022-2023
7,Luigi Sepe,"€ 32,115","€ 1,670,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 1,670,000",,K,GK,31,Reserve,Italy,,,Salernitana,Serie A,2022-2023
8,William Troost-Ekong,"€ 30,577","€ 1,590,000",,"Jan 24, 2023","Jun 30, 2023",1,"€ 1,590,000",,D,CB,29,Starter,Nigeria,,,Salernitana,Serie A,2022-2023
9,Norbert Gyomber,"€ 25,000","€ 1,300,000","€ 370,000","Jan 13, 2023","Jun 30, 2025",3,"€ 3,900,000",,D,CB,30,Reserve,Slovakia,,,Salernitana,Serie A,2022-2023
10,Domagoj Bradaric,"€ 24,615","€ 1,280,000",,"Jul 15, 2022","Jun 30, 2026",4,"€ 5,120,000",,D,LB,23,Starter,Croatia,,,Salernitana,Serie A,2022-2023
11,Dylan Bronn,"€ 22,115","€ 1,150,000",,"Aug 12, 2022","Jun 30, 2025",3,"€ 3,450,000",,D,CB,27,Starter,Tunisia,,,Salernitana,Serie A,2022-2023
12,Ivan Radovanovic,"€ 21,346","€ 1,110,000",,"Jan 31, 2022","Jun 30, 2023",1,"€ 1,110,000",,M,DM,34,Reserve,Serbia,,,Salernitana,Serie A,2022-2023
13,Emil Bohinen,"€ 19,231","€ 1,000,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 4,000,000",,M,CM,23,Reserve,Norway,,,Salernitana,Serie A,2022-2023
14,Matteo Lovato,"€ 17,885","€ 930,000",,"Jul 6, 2022","Jun 30, 2027",5,"€ 4,650,000",,D,CB,22,Reserve,Italy,,,Salernitana,Serie A,2022-2023
15,Guillermo Ochoa,"€ 14,231","€ 740,000",,"Jan 2, 2023","Jun 30, 2023",1,"€ 740,000",,K,GK,37,Starter,Mexico,,,Salernitana,Serie A,2022-2023
16,Tonny Vilhena,"€ 14,231","€ 740,000",,"Aug 10, 2022","Jun 30, 2023",1,"€ 740,000",,M,CM,28,Starter,Netherlands,,,Salernitana,Serie A,2022-2023
17,Flavius Daniliuc,"€ 12,308","€ 640,000",,"Aug 29, 2022","Jun 30, 2026",4,"€ 2,560,000",,D,CB,21,Reserve,Austria,,,Salernitana,Serie A,2022-2023
18,Lorenzo Pirola,"€ 10,769","€ 560,000",,"Jul 30, 2022","Jun 30, 2023",1,"€ 560,000",,D,CB,20,Reserve,Italy,,,Salernitana,Serie A,2022-2023
19,Erik Botheim,"€ 9,808","€ 510,000",,"Jul 7, 2022","Jun 30, 2026",4,"€ 2,040,000",,F,CF,23,Reserve,Norway,,,Salernitana,Serie A,2022-2023
20,Lassana Coulibaly,"€ 9,808","€ 510,000",,"Jun 29, 2022","Jun 30, 2026",4,"€ 2,040,000",,M,CM,26,Starter,Mali,,,Salernitana,Serie A,2022-2023
21,Vincenzo Fiorillo,"€ 9,615","€ 500,000",,"Aug 6, 2021","Jun 30, 2025",3,"€ 1,500,000",,K,GK,33,Reserve,Italy,,,Salernitana,Serie A,2022-2023
22,Domen Crnigoj,"€ 8,654","€ 450,000",,"Jan 26, 2023","Jun 30, 2023",1,"€ 450,000",,M,CM,27,Reserve,Slovenia,,,Salernitana,Serie A,2022-2023
23,Hans Nicolussi Caviglia,"€ 7,500","€ 390,000",,"Jan 5, 2023","Jun 30, 2023",1,"€ 390,000",,M,CM,22,Starter,Italy,,,Salernitana,Serie A,2022-2023
