,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Andrea Conti,"€ 71,154","€ 3,700,000",,"Feb 10, 2022","Jun 30, 2025",3,"€ 11,100,000",,D,RB,28,Reserve,Italy,,,Sampdoria,Serie A,2022-2023
1,Emil Audero,"€ 28,462","€ 1,480,000",,"Mar 16, 2021","Jun 30, 2026",4,"€ 5,920,000",,K,GK,26,Starter,Italy,,,Sampdoria,Serie A,2022-2023
2,Filip Djuricic,"€ 28,462","€ 1,480,000",,"Aug 1, 2022","Jun 30, 2024",2,"€ 2,960,000",,F,AM,31,Starter,Serbia,,,Sampdoria,Serie A,2022-2023
3,Manolo Gabbiadini,"€ 27,115","€ 1,410,000",,"Mar 23, 2021","Jun 30, 2026",4,"€ 5,640,000",,F,CF,31,Starter,Italy,,,Sampdoria,Serie A,2022-2023
4,Jeison Murillo,"€ 27,115","€ 1,410,000",,"Jan 14, 2020","Jun 30, 2023",1,"€ 1,410,000",,D,CB,30,Reserve,Colombia,,,Sampdoria,Serie A,2022-2023
5,Nicola Murru,"€ 25,000","€ 1,300,000",,"Feb 10, 2020","Jun 30, 2024",2,"€ 2,600,000",,D,LB,28,Reserve,Italy,,,Sampdoria,Serie A,2022-2023
6,Tomás Rincón,"€ 25,000","€ 1,300,000",,"Jul 5, 2022","Jun 30, 2023",1,"€ 1,300,000",,M,DM,35,Reserve,Venezuela,,,Sampdoria,Serie A,2022-2023
7,Harry Winks,"€ 23,269","€ 1,210,000",,"Aug 30, 2022","Jun 30, 2023",1,"€ 1,210,000",,M,DM,26,Starter,England,,,Sampdoria,Serie A,2022-2023
8,Koray Günter,"€ 21,346","€ 1,110,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 1,110,000",,D,CB,28,Starter,Germany,,,Sampdoria,Serie A,2022-2023
9,Bram Nuytinck,"€ 21,346","€ 1,110,000",,"Jan 2, 2023","Jun 30, 2023",1,"€ 1,110,000",,D,CB,32,Starter,Netherlands,,,Sampdoria,Serie A,2022-2023
10,Sam Lammers,"€ 19,808","€ 1,030,000",,"Jan 2, 2023","Jun 30, 2023",1,"€ 1,030,000",,F,CF,25,Starter,Netherlands,,,Sampdoria,Serie A,2022-2023
11,Fabio Quagliarella,"€ 17,885","€ 930,000",,"Jul 4, 2022","Jun 30, 2023",1,"€ 930,000",,F,CF,40,Reserve,Italy,,,Sampdoria,Serie A,2022-2023
12,Ignacio Pussetto,"€ 17,885","€ 930,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 930,000",,F,RW,27,Reserve,Argentina,,,Sampdoria,Serie A,2022-2023
13,Alessandro Zanoli,"€ 14,231","€ 740,000",,"Jan 6, 2023","Jun 30, 2023",1,"€ 740,000",,D,RB,22,Reserve,Italy,,,Sampdoria,Serie A,2022-2023
14,Jesé,"€ 12,308","€ 640,000","€ 640,000","Feb 10, 2023","Jun 30, 2023",1,"€ 640,000",,F,LW,29,Reserve,Spain,,,Sampdoria,Serie A,2022-2023
15,Mehdi Léris,"€ 10,000","€ 520,000",,"Aug 12, 2019","Jun 30, 2024",2,"€ 1,040,000",,F,RW,24,Starter,Algeria,,,Sampdoria,Serie A,2022-2023
16,Michaël Cuisance,"€ 9,808","€ 510,000",,"Jan 30, 2023","Jun 30, 2023",1,"€ 510,000",,M,CM,23,Starter,France,,,Sampdoria,Serie A,2022-2023
17,Tommaso Augello,"€ 8,846","€ 460,000",,"Dec 29, 2020","Jun 30, 2025",3,"€ 1,380,000",,D,LB,28,Starter,Italy,,,Sampdoria,Serie A,2022-2023
18,Emirhan Ilkhan,"€ 6,731","€ 350,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 350,000",,M,CM,18,Reserve,Turkey,,,Sampdoria,Serie A,2022-2023
19,Marios Oikonomou,"€ 5,000","€ 260,000",,"Feb 17, 2023","Jun 30, 2023",1,"€ 260,000",,D,CB,30,Reserve,Greece,,,Sampdoria,Serie A,2022-2023
20,Lorenzo Malagrida,"€ 3,654","€ 190,000",,"Sep 21, 2022","Jun 30, 2025",3,"€ 570,000",,M,LM,19,Reserve,Italy,,,Sampdoria,Serie A,2022-2023
21,Nicola Ravaglia,"€ 3,654","€ 190,000",,"Nov 25, 2021","Jun 30, 2024",2,"€ 380,000",,K,GK,34,Reserve,Italy,,,Sampdoria,Serie A,2022-2023
22,Simone Trimboli,"€ 2,885","€ 150,000",,"Oct 8, 2021","Jun 30, 2024",2,"€ 300,000",,M,CM,20,Reserve,Italy,,,Sampdoria,Serie A,2022-2023
23,Gerard Yepes,"€ 2,885","€ 150,000",,"Jul 5, 2022","Jun 30, 2025",3,"€ 450,000",,M,DM,20,Reserve,Spain,,,Sampdoria,Serie A,2022-2023
24,Bruno Amione,"€ 2,500","€ 130,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 130,000",,D,CB,21,Starter,Argentina,,,Sampdoria,Serie A,2022-2023
