,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Domenico Berardi,"€ 106,923","€ 5,560,000",,"Aug 17, 2022","Jun 30, 2027",5,"€ 27,800,000",,F,RW,28,Starter,Italy,,,Sassuolo,Serie A,2022-2023
1,Andrea Pinamonti,"€ 85,385","€ 4,440,000",,"Aug 11, 2022","Jun 30, 2023",1,"€ 4,440,000",,F,CF,23,Reserve,Italy,,,Sassuolo,Serie A,2022-2023
2,Andrea Consigli,"€ 35,577","€ 1,850,000",,"Nov 3, 2021","Jun 30, 2024",2,"€ 3,700,000",,K,GK,36,Starter,Italy,,,Sassuolo,Serie A,2022-2023
3,Grégoire Defrel,"€ 30,192","€ 1,570,000",,"Sep 1, 2020","Jun 30, 2024",2,"€ 3,140,000",,F,CF,31,Starter,Martinique,,,Sassuolo,Serie A,2022-2023
4,Nedim Bajrami,"€ 29,615","€ 1,540,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 1,540,000",,F,AM,23,Reserve,Albania,,,Sassuolo,Serie A,2022-2023
5,Davide Frattesi,"€ 25,000","€ 1,300,000",,"Mar 17, 2022","Jun 30, 2026",4,"€ 5,200,000",,M,CM,23,Starter,Italy,,,Sassuolo,Serie A,2022-2023
6,Rogério,"€ 25,000","€ 1,300,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 2,600,000",,D,LB,25,Reserve,Brazil,,,Sassuolo,Serie A,2022-2023
7,Agustín Álvarez,"€ 24,615","€ 1,280,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 6,400,000",,F,CF,21,Reserve,Uruguay,,,Sassuolo,Serie A,2022-2023
8,Armand Laurienté,"€ 22,115","€ 1,150,000",,"Aug 31, 2022","Jun 30, 2027",5,"€ 5,750,000",,F,LW,24,Starter,France,,,Sassuolo,Serie A,2022-2023
9,Gian Marco Ferrari,"€ 21,346","€ 1,110,000",,"Aug 30, 2016","Jun 30, 2024",2,"€ 2,220,000",,D,CB,30,Reserve,Italy,,,Sassuolo,Serie A,2022-2023
10,Pedro Obiang,"€ 20,962","€ 1,090,000",,"Jul 24, 2019","Jun 30, 2023",1,"€ 1,090,000",,M,CM,30,Starter,Equatorial Guinea,,,Sassuolo,Serie A,2022-2023
11,Gianluca Pegolo,"€ 17,885","€ 930,000",,"Jun 15, 2022","Jun 30, 2023",1,"€ 930,000",,K,GK,41,Reserve,Italy,,,Sassuolo,Serie A,2022-2023
