,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Viktor Kovalenko,"€ 71,154","€ 3,700,000",,"Aug 2, 2022","Jun 30, 2023",1,"€ 3,700,000",,F,AM,26,Reserve,Ukraine,,,Spezia,Serie A,2022-2023
1,Eldor Shomurodov,"€ 36,923","€ 1,920,000",,"Jan 30, 2023","Jun 30, 2023",1,"€ 1,920,000",,F,CF,27,Starter,Uzbekistan,,,Spezia,Serie A,2022-2023
2,Dimitrios Nikolaou,"€ 32,115","€ 1,670,000",,"Aug 9, 2021","Jun 30, 2026",4,"€ 6,680,000",,D,CB,24,Starter,Greece,,,Spezia,Serie A,2022-2023
3,Szymon Zurkowski,"€ 32,115","€ 1,670,000",,"Jan 12, 2023","Jun 30, 2023",1,"€ 1,670,000",,M,CM,25,Reserve,Poland,,,Spezia,Serie A,2022-2023
4,Albin Ekdal,"€ 28,462","€ 1,480,000",,"Jul 13, 2022","Jun 30, 2024",2,"€ 2,960,000",,M,DM,33,Reserve,Sweden,,,Spezia,Serie A,2022-2023
5,Bartlomiej Dragowski,"€ 25,000","€ 1,300,000",,"Aug 10, 2022","Jun 30, 2025",3,"€ 3,900,000","€ 8,000,000",K,GK,25,Starter,Poland,,,Spezia,Serie A,2022-2023
6,Jeroen Zoet,"€ 24,615","€ 1,280,000",,"May 20, 2022","Jun 30, 2024",2,"€ 2,560,000",,K,GK,32,Reserve,Netherlands,,,Spezia,Serie A,2022-2023
7,Mattia Caldara,"€ 23,077","€ 1,200,000",,"Jul 17, 2022","Jun 30, 2023",1,"€ 1,200,000",,D,CB,28,Reserve,Italy,,,Spezia,Serie A,2022-2023
8,Arkadiusz Reca,"€ 22,115","€ 1,150,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 3,450,000",,D,LB,27,Starter,Poland,,,Spezia,Serie A,2022-2023
9,Mehdi Bourabia,"€ 21,346","€ 1,110,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 2,220,000",,M,DM,31,Starter,Morocco,,,Spezia,Serie A,2022-2023
10,M'Bala Nzola,"€ 19,615","€ 1,020,000","€ 370,000","Oct 7, 2020","Jun 30, 2024",2,"€ 2,040,000",,F,CF,26,Reserve,Angola,,,Spezia,Serie A,2022-2023
11,Salvatore Esposito,"€ 15,962","€ 830,000",,"Jan 6, 2023","Jun 30, 2023",1,"€ 830,000",,M,DM,22,Starter,Italy,,,Spezia,Serie A,2022-2023
12,Kevin Agudelo,"€ 14,231","€ 740,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 2,220,000",,F,AM,24,Starter,Colombia,,,Spezia,Serie A,2022-2023
13,Jacopo Sala,"€ 14,231","€ 740,000",,"Jul 4, 2022","Jun 30, 2024",2,"€ 1,480,000",,M,CM,31,Reserve,Italy,,,Spezia,Serie A,2022-2023
14,Daniele Verde,"€ 14,231","€ 740,000",,"Jan 21, 2022","Jun 30, 2025",3,"€ 2,220,000",,F,RW,26,Starter,Italy,,,Spezia,Serie A,2022-2023
15,Kelvin Amian,"€ 13,654","€ 710,000",,"Jul 22, 2021","Jun 30, 2025",3,"€ 2,130,000",,D,RB,24,Starter,France,,,Spezia,Serie A,2022-2023
16,Daniel Maldini,"€ 10,769","€ 560,000",,"Jul 29, 2022","Jun 30, 2023",1,"€ 560,000",,F,AM,21,Reserve,Italy,,,Spezia,Serie A,2022-2023
17,Przemyslaw Wisniewski,"€ 9,808","€ 510,000",,"Jan 25, 2023","Jun 30, 2027",5,"€ 2,550,000",,D,CB,24,Starter,Poland,,,Spezia,Serie A,2022-2023
