,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Nikola Vlasic,"€ 61,731","€ 3,210,000",,"Aug 11, 2022","Jun 30, 2023",1,"€ 3,210,000",,F,AM,25,Starter,Croatia,,,Torino,Serie A,2022-2023
1,Antonio Sanabria,"€ 56,923","€ 2,960,000",,"Jan 31, 2021","Jun 30, 2025",3,"€ 8,880,000",,F,CF,26,Starter,Paraguay,,,Torino,Serie A,2022-2023
2,Aleksey Miranchuk,"€ 53,462","€ 2,780,000",,"Aug 11, 2022","Jun 30, 2023",1,"€ 2,780,000",,F,AM,27,Starter,Russia,,,Torino,Serie A,2022-2023
3,Ricardo Rodríguez,"€ 53,462","€ 2,780,000",,"Sep 1, 2020","Jun 30, 2024",2,"€ 5,560,000",,D,CB,30,Starter,Switzerland,,,Torino,Serie A,2022-2023
4,Karol Linetty,"€ 49,808","€ 2,590,000",,"Sep 1, 2020","Jun 30, 2024",2,"€ 5,180,000",,M,CM,27,Starter,Poland,,,Torino,Serie A,2022-2023
5,Valentino Lazaro,"€ 36,923","€ 1,920,000",,"Aug 1, 2022","Jun 30, 2023",1,"€ 1,920,000",,D,RB,26,Reserve,Austria,,,Torino,Serie A,2022-2023
6,Yann Karamoh,"€ 35,577","€ 1,850,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 1,850,000",,F,LW,24,Reserve,Cote d'Ivoire,,,Torino,Serie A,2022-2023
7,Etrit Berisha,"€ 35,577","€ 1,850,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 3,700,000",,K,GK,33,Reserve,Albania,,,Torino,Serie A,2022-2023
8,Ola Aina,"€ 35,577","€ 1,850,000",,"Jul 1, 2019","Jun 30, 2023",1,"€ 1,850,000",,D,RB,26,Reserve,Nigeria,,,Torino,Serie A,2022-2023
9,Samuele Ricci,"€ 35,577","€ 1,850,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 1,850,000",,M,DM,21,Reserve,Italy,,,Torino,Serie A,2022-2023
10,Perr Schuurs,"€ 34,423","€ 1,790,000",,"Aug 18, 2022","Jun 30, 2026",4,"€ 7,160,000",,D,CB,23,Starter,Netherlands,,,Torino,Serie A,2022-2023
11,Ivan Ilić,"€ 29,615","€ 1,540,000",,"Jan 30, 2023","Jun 30, 2023",1,"€ 1,540,000",,M,CM,21,Reserve,Serbia,,,Torino,Serie A,2022-2023
12,Pietro Pellegri,"€ 24,615","€ 1,280,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 3,840,000",,F,CF,21,Reserve,Italy,,,Torino,Serie A,2022-2023
13,Ronaldo Vieira,"€ 21,346","€ 1,110,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 1,110,000",,M,CM,24,Reserve,England,,,Torino,Serie A,2022-2023
14,Nemanja Radonjić,"€ 19,808","€ 1,030,000",,"Jul 7, 2022","Jun 30, 2023",1,"€ 1,030,000",,F,LW,26,Reserve,Serbia,,,Torino,Serie A,2022-2023
15,Mërgim Vojvoda,"€ 17,308","€ 900,000",,"Sep 1, 2020","Jun 30, 2024",2,"€ 1,800,000",,D,RB,28,Reserve,Kosovo,,,Torino,Serie A,2022-2023
16,Demba Seck,"€ 14,231","€ 740,000",,"Jan 31, 2022","Jun 30, 2026",4,"€ 2,960,000",,F,RW,21,Reserve,Senegal,,,Torino,Serie A,2022-2023
17,Vanja Milinković-Savić,"€ 14,231","€ 740,000",,"Jun 15, 2021","Jun 30, 2024",2,"€ 1,480,000",,K,GK,25,Starter,Serbia,,,Torino,Serie A,2022-2023
18,David Zima,"€ 12,308","€ 640,000",,"Aug 31, 2021","Jun 30, 2025",3,"€ 1,920,000",,D,CB,22,Reserve,Czech Republic,,,Torino,Serie A,2022-2023
19,Brian Bayeye,"€ 10,769","€ 560,000",,"Jul 4, 2022","Jun 30, 2026",4,"€ 2,240,000",,D,RB,22,Reserve,France,,,Torino,Serie A,2022-2023
20,Koffi Djidji,"€ 9,038","€ 470,000",,"Jul 1, 2019","Jun 30, 2023",1,"€ 470,000",,D,CB,30,Starter,Cote d'Ivoire,,,Torino,Serie A,2022-2023
21,Alessandro Buongiorno,"€ 7,885","€ 410,000",,"Nov 5, 2021","Jun 30, 2025",3,"€ 1,230,000",,D,CB,23,Starter,Italy,,,Torino,Serie A,2022-2023
22,Wilfried Stephane Singo,"€ 5,000","€ 260,000",,"Nov 24, 2020","Jun 30, 2024",2,"€ 520,000",,D,RB,22,Starter,Cote d'Ivoire,,,Torino,Serie A,2022-2023
23,Luca Gemello,"€ 2,115","€ 110,000",,"Dec 27, 2021","Jun 30, 2023",1,"€ 110,000",,K,GK,22,Reserve,Italy,,,Torino,Serie A,2022-2023
24,Gvidas Gineitis,"€ 2,115","€ 110,000",,"Mar 2, 2023","Jun 30, 2026",4,"€ 440,000",,M,CM,18,Reserve,Lithuania,,,Torino,Serie A,2022-2023
25,Michel Ndary Adopo,"€ 2,115","€ 110,000",,"Apr 27, 2018","Jun 30, 2023",1,"€ 110,000",,M,CM,22,Starter,France,,,Torino,Serie A,2022-2023
26,Andreaw Gravillon,"€ 1,731","€ 90,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 90,000",,D,CB,24,Reserve,Guadeloupe,,,Torino,Serie A,2022-2023
27,Matteo Fiorenza,€ 962,"€ 50,000",,"Jul 11, 2022","Jun 30, 2026",4,"€ 200,000",,K,GK,19,Reserve,Italy,,,Torino,Serie A,2022-2023
28,Total,"€ 684,232","€ 35,580,000",€ 0,,,,"€ 65,030,000",€ 0,,,,,,,,Torino,Serie A,2022-2023
