,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Florian Thauvin,"€ 44,423","€ 2,310,000",,"Jan 31, 2023","Jun 30, 2025",3,"€ 6,930,000",,F,RW,30,Reserve,France,,,Udinese,Serie A,2022-2023
1,Marco Silvestri,"€ 35,577","€ 1,850,000","€ 370,000","Dec 1, 2022","Jun 30, 2025",3,"€ 5,550,000",,K,GK,31,Starter,Italy,,,Udinese,Serie A,2022-2023
2,Ilija Nestorovski,"€ 25,000","€ 1,300,000",,"Jul 4, 2022","Jun 30, 2023",1,"€ 1,300,000",,F,CF,32,Reserve,North Macedonia,,,Udinese,Serie A,2022-2023
3,Roberto Pereyra,"€ 24,615","€ 1,280,000",,"Sep 28, 2020","Jun 30, 2023",1,"€ 1,280,000",,M,CM,32,Starter,Argentina,,,Udinese,Serie A,2022-2023
4,Gerard Deulofeu,"€ 24,615","€ 1,280,000",,"Jan 30, 2021","Jun 30, 2024",2,"€ 2,560,000",,F,CF,28,Reserve,Spain,,,Udinese,Serie A,2022-2023
5,Adam Masina,"€ 22,115","€ 1,150,000",,"Jul 18, 2022","Jun 30, 2025",3,"€ 3,450,000",,D,LB,29,Reserve,Morocco,,,Udinese,Serie A,2022-2023
6,Isaac Success,"€ 20,962","€ 1,090,000",,"Dec 3, 2022","Jun 30, 2025",3,"€ 3,270,000",,F,CF,27,Reserve,Nigeria,,,Udinese,Serie A,2022-2023
7,Walace,"€ 19,808","€ 1,030,000",,"Nov 17, 2022","Jun 30, 2026",4,"€ 4,120,000",,M,DM,27,Starter,Brazil,,,Udinese,Serie A,2022-2023
8,Enzo Ebosse,"€ 19,808","€ 1,030,000",,"Jul 29, 2022","Jun 30, 2027",5,"€ 5,150,000",,D,CB,23,Reserve,Cameroon,,,Udinese,Serie A,2022-2023
9,Jaka Bijol,"€ 19,808","€ 1,030,000",,"Jul 14, 2022","Jun 30, 2027",5,"€ 5,150,000",,D,CB,23,Starter,Slovenia,,,Udinese,Serie A,2022-2023
10,Sandi Lovric,"€ 17,308","€ 900,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 4,500,000",,M,CM,24,Starter,Slovenia,,,Udinese,Serie A,2022-2023
11,Kingsley Ehizibue,"€ 17,308","€ 900,000",,"Aug 29, 2022","Jun 30, 2026",4,"€ 3,600,000",,D,RB,27,Starter,Netherlands,,,Udinese,Serie A,2022-2023
12,Nehuén Pérez,"€ 15,962","€ 830,000",,"Jul 29, 2022","Jun 30, 2027",5,"€ 4,150,000",,D,CB,22,Starter,Argentina,,,Udinese,Serie A,2022-2023
13,Rodrigo Becão,"€ 14,808","€ 770,000",,"Jul 6, 2019","Jun 30, 2024",2,"€ 1,540,000",,D,CB,27,Starter,Brazil,,,Udinese,Serie A,2022-2023
14,Tolgay Arslan,"€ 14,808","€ 770,000",,"Sep 18, 2020","Jun 30, 2023",1,"€ 770,000",,M,CM,32,Reserve,Germany,,,Udinese,Serie A,2022-2023
15,Marvin Zeegelaar,"€ 12,308","€ 640,000",,"Mar 7, 2023","Jun 30, 2023",1,"€ 640,000",,D,LB,32,Reserve,Netherlands,,,Udinese,Serie A,2022-2023
16,Lazar Samardzic,"€ 9,808","€ 510,000",,"Aug 5, 2021","Jun 30, 2026",4,"€ 2,040,000",,F,AM,20,Starter,Germany,,,Udinese,Serie A,2022-2023
17,Daniele Padelli,"€ 7,115","€ 370,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 370,000",,K,GK,37,Reserve,Italy,,,Udinese,Serie A,2022-2023
18,Leonardo Buta,"€ 6,154","€ 320,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 1,600,000",,D,LB,20,Reserve,Portugal,,,Udinese,Serie A,2022-2023
19,Destiny Udogie,"€ 5,385","€ 280,000",,"Aug 17, 2022","Jun 30, 2023",1,"€ 280,000",,D,LB,20,Starter,Italy,,,Udinese,Serie A,2022-2023
20,Festy Ebosele,"€ 4,423","€ 230,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 1,150,000",,D,RB,20,Reserve,Ireland,,,Udinese,Serie A,2022-2023
21,Beto,"€ 3,654","€ 190,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 760,000",,F,CF,25,Starter,Portugal,,,Udinese,Serie A,2022-2023
22,Axel Guessand,"€ 2,885","€ 150,000",,"Nov 10, 2022","Jun 30, 2027",5,"€ 750,000",,D,CB,18,Reserve,France,,,Udinese,Serie A,2022-2023
23,James Abankwah,"€ 1,154","€ 60,000",,"Jan 26, 2022","Jun 30, 2026",4,"€ 240,000",,D,CB,19,Reserve,Ireland,,,Udinese,Serie A,2022-2023
24,Simone Pafundi,"€ 1,154","€ 60,000",,"Jul 20, 2022","Jun 30, 2025",3,"€ 180,000",,F,AM,16,Reserve,Italy,,,Udinese,Serie A,2022-2023
25,Edoardo Piana,"€ 1,154","€ 60,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 60,000",,K,GK,19,Reserve,Italy,,,Udinese,Serie A,2022-2023
26,Total,"€ 392,119","€ 20,390,000","€ 370,000",,,,"€ 61,390,000",€ 0,,,,,,,,Udinese,Serie A,2022-2023
