League Name;Region;Country;TransferMarkt League Code;;;
Girabola;Africa;Angola;AN1L;;;
Liga Profesional;Americas;Argentina;AR1N;;;
A-League;Asia;Australia;AUS1;;;
Bundesliga;Europe;Austria;A1;;;
Bangladesh PL;Asia;Bangladesh;BGD1;;;
Jupiler Pro League;Europe;Belgium;BE1;;;
Div. Prof. Apertura;Americas;Bolivia;BO1A;;;
Série A;Americas;Brazil;BRA1;;;
CanPL;Americas;Canada;CDN1;;;
Primera División;Americas;Chile;CLPD;;;
Super League;Asia;China;CSL;;;
Liga Dimayor I;Americas;Colombia;COLP;;;
Liga DIMAYOR II;Americas;Colombia;COL1;;;
Primera Div. Apertura;Americas;Costa Rica;CRPD;;;
Primera Div. Clausura;Americas;Costa Rica;PDV1;;;
1.HNL;Europe;Croatia;KR1;;;
Fortuna Liga;Europe;Czech Republic;TS1;;;
Superligaen;Europe;Denmark;DK1;;;
Serie A Primera Etapa;Americas;Ecuador;EL1A;;;
Serie A Segunda Etapa;Americas;Ecuador;EL1S;;;
Primera División Apertura;Americas;El Salvador;SL1A;;;
Premier League;Europe;England;GB1;;;
Championship;Europe;England;GB2;;;
League One;Europe;England;GB3;;;
League Two;Europe;England;GB4;;;
Premier League;Asia;Fiji;FIJ1;;;
Ligue 1;Europe;France;FR1;;;
Ligue 2;Europe;France;FR2;;;
Bundesliga;Europe;Germany;L1;;;
2. Bundesliga;Europe;Germany;L2;;;
3. Liga;Europe;Germany;L3;;;
Premier League;Africa;Ghana;GHPL;;;
Super League 1;Europe;Greece;GR1;;;
Liga Nacional Apertura;Americas;Guatemala;GU1A;;;
Liga Nacional Clausura;Americas;Guatemala;GU1C;;;
Hong Kong Premier League;Asia;Hongkong;HGKG;;;
NB I.;Europe;Hungary;UNG1;;;
Indian Super League;Asia;India;IND1;;;
Liga 1 Indonesia;Asia;Indonesia;IN1L;;;
Persian Gulf Pro League;Asia;Iran;IRN1;;;
First Division;Europe;Ireland;IR1;;;
Ligat ha'Al;Europe;Israel;ISR1;;;
Serie A;Europe;Italy;IT1;;;
Serie B;Europe;Italy;IT2;;;
Jamaica Premier League;Americas;Jamaica;JPL1;;;
J1 League;Asia;Japan;JAP1;;;
K League 1;Asia;Korea, South;RSK1;;;
BC Olimp Premier League;Asia;Kyrgyzstan;KG1L;;;
Super League;Asia;Malaysia;MYS1;;;
Liga MX Apertura;Americas;Mexico;MEXA;;;
Coupe du Trône Marocaine;Africa;Morocco;MARP;;;
Mo√ßambola;Africa;Mozambique;MO1L;;;
National League;Asia;Myanmar;MYA1;;;
Nepal Super League;Asia;Nepal;NPL1;;;
Eredivisie;Europe;Netherlands;NL1;;;
NZ Central League;Asia;New Zealand;NCL1;;;
NZ Northern League;Asia;New Zealand;NNL1;;;
Eliteserien;Europe;Norway;NO1;;;
Liga Panamená Apertura;Americas;Panama;PN1A;;;
Liga Panamená Clausura;Americas;Panama;PN1C;;;
Primera División Apertura;Americas;Paraguay;PR1A;;;
Primera División Clausura;Americas;Paraguay;PR1C;;;
Liga 1 Apertura;Americas;Peru;TDeA;;;
Liga 1 Clausura;Americas;Peru;TDeC;;;
PFL;Asia;Philippines;PFL1;;;
Ekstraklasa;Europe;Poland;PL1;;;
Liga Bwin;Europe;Portugal;PO1;;;
Stars League;Asia;Qatar;QSL;;;
Liga 1;Europe;Romania;RO1;;;
Premier Liga;Europe;Russia;RU1;;;
Professional League;Asia;Saudi Arabia;SA1;;;
Premiership;Europe;Scotland;SC1;;;
Super liga Srbije;Europe;Serbia;SER1;;;
Premier League;Asia;Singapore;SIN1;;;
DStv Premiership;Africa;South Africa;SFA1;;;
LaLiga;Europe;Spain;ES1;;;
LaLiga2;Europe;Spain;ES2;;;
Allsvenskan;Europe;Sweden;SE1;;;
Super League;Europe;Switzerland;C1;;;
Vysshaya Liga;Asia;Tajikistan;TAD1;;;
Thai League;Asia;Thailand;THA1;;;
Ligue I Pro;Africa;Tunisia;TUN1;;;
Tunesischer Supercup;Africa;Tunisia;TUSC;;;
Süper Lig;Europe;Turkey;TR1;;;
Premier Liga;Europe;Ukraine;UKR1;;;
UAE Gulf League;Asia;United Arab Emirates;UAE1;;;
MLS;Americas;United States;MLS1;;;
Primera División Apertura;Americas;Uruguay;URU1;;;
Superliga;Asia;Uzbekistan;UZ1;;;
Primera División;Americas;Venezuela;VZ1L;;;
V.League 1;Asia;Vietnam;VIE1;;;
